"Province","Country","Date","Count"
"Anhui","China",2020-01-22,1
"Beijing","China",2020-01-22,14
"Chongqing","China",2020-01-22,6
"Fujian","China",2020-01-22,1
"Gansu","China",2020-01-22,0
"Guangdong","China",2020-01-22,26
"Guangxi","China",2020-01-22,2
"Guizhou","China",2020-01-22,1
"Hainan","China",2020-01-22,4
"Hebei","China",2020-01-22,1
"Heilongjiang","China",2020-01-22,0
"Henan","China",2020-01-22,5
"Hong Kong","China",2020-01-22,0
"Hubei","China",2020-01-22,444
"Hunan","China",2020-01-22,4
"Inner Mongolia","China",2020-01-22,0
"Jiangsu","China",2020-01-22,1
"Jiangxi","China",2020-01-22,2
"Jilin","China",2020-01-22,0
"Liaoning","China",2020-01-22,2
"Macau","China",2020-01-22,1
"Ningxia","China",2020-01-22,1
"Qinghai","China",2020-01-22,0
"Shaanxi","China",2020-01-22,0
"Shandong","China",2020-01-22,2
"Shanghai","China",2020-01-22,9
"Shanxi","China",2020-01-22,1
"Sichuan","China",2020-01-22,5
"Tianjin","China",2020-01-22,4
"Tibet","China",2020-01-22,0
"Xinjiang","China",2020-01-22,0
"Yunnan","China",2020-01-22,1
"Zhejiang","China",2020-01-22,10
"Anhui","China",2020-01-23,9
"Beijing","China",2020-01-23,22
"Chongqing","China",2020-01-23,9
"Fujian","China",2020-01-23,5
"Gansu","China",2020-01-23,2
"Guangdong","China",2020-01-23,32
"Guangxi","China",2020-01-23,5
"Guizhou","China",2020-01-23,3
"Hainan","China",2020-01-23,5
"Hebei","China",2020-01-23,1
"Heilongjiang","China",2020-01-23,2
"Henan","China",2020-01-23,5
"Hong Kong","China",2020-01-23,2
"Hubei","China",2020-01-23,444
"Hunan","China",2020-01-23,9
"Inner Mongolia","China",2020-01-23,0
"Jiangsu","China",2020-01-23,5
"Jiangxi","China",2020-01-23,7
"Jilin","China",2020-01-23,1
"Liaoning","China",2020-01-23,3
"Macau","China",2020-01-23,2
"Ningxia","China",2020-01-23,1
"Qinghai","China",2020-01-23,0
"Shaanxi","China",2020-01-23,3
"Shandong","China",2020-01-23,6
"Shanghai","China",2020-01-23,16
"Shanxi","China",2020-01-23,1
"Sichuan","China",2020-01-23,8
"Tianjin","China",2020-01-23,4
"Tibet","China",2020-01-23,0
"Xinjiang","China",2020-01-23,2
"Yunnan","China",2020-01-23,2
"Zhejiang","China",2020-01-23,27
"Anhui","China",2020-01-24,15
"Beijing","China",2020-01-24,36
"Chongqing","China",2020-01-24,27
"Fujian","China",2020-01-24,10
"Gansu","China",2020-01-24,2
"Guangdong","China",2020-01-24,53
"Guangxi","China",2020-01-24,23
"Guizhou","China",2020-01-24,3
"Hainan","China",2020-01-24,8
"Hebei","China",2020-01-24,2
"Heilongjiang","China",2020-01-24,4
"Henan","China",2020-01-24,9
"Hong Kong","China",2020-01-24,2
"Hubei","China",2020-01-24,549
"Hunan","China",2020-01-24,24
"Inner Mongolia","China",2020-01-24,1
"Jiangsu","China",2020-01-24,9
"Jiangxi","China",2020-01-24,18
"Jilin","China",2020-01-24,3
"Liaoning","China",2020-01-24,4
"Macau","China",2020-01-24,2
"Ningxia","China",2020-01-24,2
"Qinghai","China",2020-01-24,0
"Shaanxi","China",2020-01-24,5
"Shandong","China",2020-01-24,15
"Shanghai","China",2020-01-24,20
"Shanxi","China",2020-01-24,1
"Sichuan","China",2020-01-24,15
"Tianjin","China",2020-01-24,8
"Tibet","China",2020-01-24,0
"Xinjiang","China",2020-01-24,2
"Yunnan","China",2020-01-24,5
"Zhejiang","China",2020-01-24,43
"Anhui","China",2020-01-25,39
"Beijing","China",2020-01-25,41
"Chongqing","China",2020-01-25,57
"Fujian","China",2020-01-25,18
"Gansu","China",2020-01-25,4
"Guangdong","China",2020-01-25,78
"Guangxi","China",2020-01-25,23
"Guizhou","China",2020-01-25,4
"Hainan","China",2020-01-25,19
"Hebei","China",2020-01-25,8
"Heilongjiang","China",2020-01-25,9
"Henan","China",2020-01-25,32
"Hong Kong","China",2020-01-25,5
"Hubei","China",2020-01-25,761
"Hunan","China",2020-01-25,43
"Inner Mongolia","China",2020-01-25,7
"Jiangsu","China",2020-01-25,18
"Jiangxi","China",2020-01-25,18
"Jilin","China",2020-01-25,4
"Liaoning","China",2020-01-25,17
"Macau","China",2020-01-25,2
"Ningxia","China",2020-01-25,3
"Qinghai","China",2020-01-25,1
"Shaanxi","China",2020-01-25,15
"Shandong","China",2020-01-25,27
"Shanghai","China",2020-01-25,33
"Shanxi","China",2020-01-25,6
"Sichuan","China",2020-01-25,28
"Tianjin","China",2020-01-25,10
"Tibet","China",2020-01-25,0
"Xinjiang","China",2020-01-25,3
"Yunnan","China",2020-01-25,11
"Zhejiang","China",2020-01-25,62
"Anhui","China",2020-01-26,60
"Beijing","China",2020-01-26,68
"Chongqing","China",2020-01-26,75
"Fujian","China",2020-01-26,35
"Gansu","China",2020-01-26,7
"Guangdong","China",2020-01-26,111
"Guangxi","China",2020-01-26,36
"Guizhou","China",2020-01-26,5
"Hainan","China",2020-01-26,22
"Hebei","China",2020-01-26,13
"Heilongjiang","China",2020-01-26,15
"Henan","China",2020-01-26,83
"Hong Kong","China",2020-01-26,8
"Hubei","China",2020-01-26,1058
"Hunan","China",2020-01-26,69
"Inner Mongolia","China",2020-01-26,7
"Jiangsu","China",2020-01-26,33
"Jiangxi","China",2020-01-26,36
"Jilin","China",2020-01-26,4
"Liaoning","China",2020-01-26,21
"Macau","China",2020-01-26,5
"Ningxia","China",2020-01-26,4
"Qinghai","China",2020-01-26,1
"Shaanxi","China",2020-01-26,22
