country,date,cases,deaths
Brazil,2019-12-31,0,0
Brazil,2020-01-01,0,0
Brazil,2020-01-02,0,0
Brazil,2020-01-03,0,0
Brazil,2020-01-04,0,0
Brazil,2020-01-05,0,0
Brazil,2020-01-06,0,0
Brazil,2020-01-07,0,0
Brazil,2020-01-08,0,0
Brazil,2020-01-09,0,0
Brazil,2020-01-10,0,0
Brazil,2020-01-11,0,0
Brazil,2020-01-12,0,0
Brazil,2020-01-13,0,0
Brazil,2020-01-14,0,0
Brazil,2020-01-15,0,0
Brazil,2020-01-16,0,0
Brazil,2020-01-17,0,0
Brazil,2020-01-18,0,0
Brazil,2020-01-19,0,0
Brazil,2020-01-20,0,0
Brazil,2020-01-21,0,0
Brazil,2020-01-22,0,0
Brazil,2020-01-23,0,0
Brazil,2020-01-24,0,0
Brazil,2020-01-25,0,0
Brazil,2020-01-26,0,0
Brazil,2020-01-27,0,0
Brazil,2020-01-28,0,0
Brazil,2020-01-29,0,0
Brazil,2020-01-30,0,0
Brazil,2020-01-31,0,0
Brazil,2020-02-01,0,0
Brazil,2020-02-02,0,0
Brazil,2020-02-03,0,0
Brazil,2020-02-04,0,0
Brazil,2020-02-05,0,0
Brazil,2020-02-06,0,0
Brazil,2020-02-07,0,0
Brazil,2020-02-08,0,0
Brazil,2020-02-09,0,0
Brazil,2020-02-10,0,0
Brazil,2020-02-11,0,0
Brazil,2020-02-12,0,0
Brazil,2020-02-13,0,0
Brazil,2020-02-14,0,0
Brazil,2020-02-15,0,0
Brazil,2020-02-16,0,0
Brazil,2020-02-17,0,0
Brazil,2020-02-18,0,0
Brazil,2020-02-19,0,0
Brazil,2020-02-20,0,0
Brazil,2020-02-21,0,0
Brazil,2020-02-22,0,0
Brazil,2020-02-23,0,0
Brazil,2020-02-24,0,0
Brazil,2020-02-25,0,0
Brazil,2020-02-26,1,0
Brazil,2020-02-27,1,0
Brazil,2020-02-28,1,0
Brazil,2020-02-29,1,0
Brazil,2020-03-01,2,0
Brazil,2020-03-02,2,0
Brazil,2020-03-03,2,0
Brazil,2020-03-04,2,0
Brazil,2020-03-05,3,0
Brazil,2020-03-06,8,0
Brazil,2020-03-07,13,0
Brazil,2020-03-08,13,0
Brazil,2020-03-09,25,0
Brazil,2020-03-10,25,0
Brazil,2020-03-11,34,0
Brazil,2020-03-12,52,0
Brazil,2020-03-13,77,0
Brazil,2020-03-14,98,0
Brazil,2020-03-15,121,0
Brazil,2020-03-16,200,0
Brazil,2020-03-17,234,0
Brazil,2020-03-18,291,1
Brazil,2020-03-19,428,4
Brazil,2020-03-20,621,6
Brazil,2020-03-21,904,11
Brazil,2020-03-22,1128,18
Brazil,2020-03-23,1546,25
Brazil,2020-03-24,1891,34
Brazil,2020-03-25,2201,46
Brazil,2020-03-26,2433,57
Brazil,2020-03-27,2915,77
Brazil,2020-03-28,3417,92
Brazil,2020-03-29,3904,114
Brazil,2020-03-30,4256,136
Brazil,2020-03-31,4579,159
Brazil,2020-04-01,5717,201
Brazil,2020-04-02,6836,241
Brazil,2020-04-03,7910,299
Brazil,2020-04-04,9056,359
Brazil,2020-04-05,10278,432
Brazil,2020-04-06,11130,486
Brazil,2020-04-07,12056,553
Brazil,2020-04-08,13717,667
Brazil,2020-04-09,15927,800
Brazil,2020-04-10,17857,941
Brazil,2020-04-11,19638,1056
Brazil,2020-04-12,20727,1124
Brazil,2020-04-13,22169,1223
Brazil,2020-04-14,23430,1328
Brazil,2020-04-15,25262,1532
Brazil,2020-04-16,28320,1736
Brazil,2020-04-17,30425,1924
Brazil,2020-04-18,33682,2141
Brazil,2020-04-19,36599,2347
Brazil,2020-04-20,38654,2462
Brazil,2020-04-21,40581,2575
Brazil,2020-04-22,43079,2741
Brazil,2020-04-23,45757,2906
Brazil,2020-04-24,49492,3313
Brazil,2020-04-25,52995,3670
Brazil,2020-04-26,58509,4016
Brazil,2020-04-27,61888,4205
Brazil,2020-04-28,66501,4543
Brazil,2020-04-29,71886,5017
Brazil,2020-04-30,78162,5466
Brazil,2020-05-01,85380,5901
Brazil,2020-05-02,91589,6329
Brazil,2020-05-03,96559,6750
Brazil,2020-05-04,101147,7025
Brazil,2020-05-05,107780,7321
Brazil,2020-05-06,114715,7921
Brazil,2020-05-07,125218,8536
Brazil,2020-05-08,135106,9146
Brazil,2020-05-09,145328,9897
Brazil,2020-05-10,155939,10627
Brazil,2020-05-11,162699,11123
Brazil,2020-05-12,168331,11519
Brazil,2020-05-13,177589,12400
Brazil,2020-05-14,188974,13149
Brazil,2020-05-15,202918,13993
Brazil,2020-05-16,218223,14817
Brazil,2020-05-17,233142,15633
Brazil,2020-05-18,241080,16118
Brazil,2020-05-19,254220,16792
Brazil,2020-05-20,271628,17971
