,Unnamed: 0,province,country,date,confirmed,deaths,recovered
17017,17018,,India,2020-01-22,0.0,0.0,0.0
17018,17019,,India,2020-01-23,0.0,0.0,0.0
17019,17020,,India,2020-01-24,0.0,0.0,0.0
17020,17021,,India,2020-01-25,0.0,0.0,0.0
17021,17022,,India,2020-01-26,0.0,0.0,0.0
17022,17023,,India,2020-01-27,0.0,0.0,0.0
17023,17024,,India,2020-01-28,0.0,0.0,0.0
17024,17025,,India,2020-01-29,0.0,0.0,0.0
17025,17026,,India,2020-01-30,1.0,0.0,0.0
17026,17027,,India,2020-01-31,1.0,0.0,0.0
17027,17028,,India,2020-02-01,1.0,0.0,0.0
17028,17029,,India,2020-02-02,2.0,0.0,0.0
17029,17030,,India,2020-02-03,3.0,0.0,0.0
17030,17031,,India,2020-02-04,3.0,0.0,0.0
17031,17032,,India,2020-02-05,3.0,0.0,0.0
17032,17033,,India,2020-02-06,3.0,0.0,0.0
17033,17034,,India,2020-02-07,3.0,0.0,0.0
17034,17035,,India,2020-02-08,3.0,0.0,0.0
17035,17036,,India,2020-02-09,3.0,0.0,0.0
17036,17037,,India,2020-02-10,3.0,0.0,0.0
17037,17038,,India,2020-02-11,3.0,0.0,0.0
17038,17039,,India,2020-02-12,3.0,0.0,0.0
17039,17040,,India,2020-02-13,3.0,0.0,0.0
17040,17041,,India,2020-02-14,3.0,0.0,0.0
17041,17042,,India,2020-02-15,3.0,0.0,0.0
17042,17043,,India,2020-02-16,3.0,0.0,3.0
17043,17044,,India,2020-02-17,3.0,0.0,3.0
17044,17045,,India,2020-02-18,3.0,0.0,3.0
17045,17046,,India,2020-02-19,3.0,0.0,3.0
17046,17047,,India,2020-02-20,3.0,0.0,3.0
17047,17048,,India,2020-02-21,3.0,0.0,3.0
17048,17049,,India,2020-02-22,3.0,0.0,3.0
17049,17050,,India,2020-02-23,3.0,0.0,3.0
17050,17051,,India,2020-02-24,3.0,0.0,3.0
17051,17052,,India,2020-02-25,3.0,0.0,3.0
17052,17053,,India,2020-02-26,3.0,0.0,3.0
17053,17054,,India,2020-02-27,3.0,0.0,3.0
17054,17055,,India,2020-02-28,3.0,0.0,3.0
17055,17056,,India,2020-02-29,3.0,0.0,3.0
17056,17057,,India,2020-03-01,3.0,0.0,3.0
17057,17058,,India,2020-03-02,5.0,0.0,3.0
17058,17059,,India,2020-03-03,5.0,0.0,3.0
17059,17060,,India,2020-03-04,28.0,0.0,3.0
17060,17061,,India,2020-03-05,30.0,0.0,3.0
17061,17062,,India,2020-03-06,31.0,0.0,3.0
17062,17063,,India,2020-03-07,34.0,0.0,3.0
17063,17064,,India,2020-03-08,39.0,0.0,3.0
17064,17065,,India,2020-03-09,43.0,0.0,3.0
17065,17066,,India,2020-03-10,56.0,0.0,4.0
17066,17067,,India,2020-03-11,62.0,1.0,4.0
17067,17068,,India,2020-03-12,73.0,1.0,4.0
17068,17069,,India,2020-03-13,82.0,2.0,4.0
17069,17070,,India,2020-03-14,102.0,2.0,4.0
17070,17071,,India,2020-03-15,113.0,2.0,13.0
17071,17072,,India,2020-03-16,119.0,2.0,13.0
17072,17073,,India,2020-03-17,142.0,3.0,14.0
17073,17074,,India,2020-03-18,156.0,3.0,14.0
17074,17075,,India,2020-03-19,194.0,4.0,15.0
17075,17076,,India,2020-03-20,244.0,5.0,20.0
17076,17077,,India,2020-03-21,330.0,4.0,23.0
17077,17078,,India,2020-03-22,396.0,7.0,27.0
17078,17079,,India,2020-03-23,499.0,10.0,27.0
17079,17080,,India,2020-03-24,536.0,10.0,40.0
17080,17081,,India,2020-03-25,657.0,12.0,43.0
17081,17082,,India,2020-03-26,727.0,20.0,45.0
17082,17083,,India,2020-03-27,887.0,20.0,73.0
17083,17084,,India,2020-03-28,987.0,24.0,84.0
17084,17085,,India,2020-03-29,1024.0,27.0,95.0
17085,17086,,India,2020-03-30,1251.0,32.0,102.0
17086,17087,,India,2020-03-31,1397.0,35.0,123.0
17087,17088,,India,2020-04-01,1998.0,58.0,148.0
17088,17089,,India,2020-04-02,2543.0,72.0,191.0
17089,17090,,India,2020-04-03,2567.0,72.0,192.0
17090,17091,,India,2020-04-04,3082.0,86.0,229.0
17091,17092,,India,2020-04-05,3588.0,99.0,229.0
17092,17093,,India,2020-04-06,4778.0,136.0,375.0
17093,17094,,India,2020-04-07,5311.0,150.0,421.0
17094,17095,,India,2020-04-08,5916.0,178.0,506.0
17095,17096,,India,2020-04-09,6725.0,226.0,620.0
17096,17097,,India,2020-04-10,7598.0,246.0,774.0
17097,17098,,India,2020-04-11,8446.0,288.0,969.0
17098,17099,,India,2020-04-12,9205.0,331.0,1080.0
17099,17100,,India,2020-04-13,10453.0,358.0,1181.0
17100,17101,,India,2020-04-14,11487.0,393.0,1359.0
17101,17102,,India,2020-04-15,12322.0,405.0,1432.0
17102,17103,,India,2020-04-16,13430.0,448.0,1768.0
17103,17104,,India,2020-04-17,14352.0,486.0,2041.0
17104,17105,,India,2020-04-18,15722.0,521.0,2463.0
17105,17106,,India,2020-04-19,17615.0,559.0,2854.0
17106,17107,,India,2020-04-20,18539.0,592.0,3273.0
17107,17108,,India,2020-04-21,20080.0,645.0,3975.0
17108,17109,,India,2020-04-22,21370.0,681.0,4370.0
17109,17110,,India,2020-04-23,23077.0,721.0,5012.0
17110,17111,,India,2020-04-24,24530.0,780.0,5498.0
17111,17112,,India,2020-04-25,26283.0,825.0,5939.0
17112,17113,,India,2020-04-26,27890.0,881.0,6523.0
17113,17114,,India,2020-04-27,29451.0,939.0,7137.0
17114,17115,,India,2020-04-28,31324.0,1008.0,7747.0
17115,17116,,India,2020-04-29,33062.0,1079.0,8437.0
17116,17117,,India,2020-04-30,34863.0,1154.0,9068.0
17117,17118,,India,2020-05-01,37257.0,1223.0,10007.0
17118,17119,,India,2020-05-02,39699.0,1323.0,10819.0
17119,17120,,India,2020-05-03,42505.0,1391.0,11775.0
17120,17121,,India,2020-05-04,46437.0,1566.0,12847.0
17121,17122,,India,2020-05-05,49400.0,1693.0,14142.0
17122,17123,,India,2020-05-06,52987.0,1785.0,15331.0
17123,17124,,India,2020-05-07,56351.0,1889.0,16776.0
17124,17125,,India,2020-05-08,59695.0,1985.0,17887.0
17125,17126,,India,2020-05-09,62808.0,2101.0,19301.0
17126,17127,,India,2020-05-10,67161.0,2212.0,20969.0
17127,17128,,India,2020-05-11,70768.0,2294.0,22549.0
17128,17129,,India,2020-05-12,74292.0,2415.0,24420.0
17129,17130,,India,2020-05-13,78055.0,2551.0,26400.0
17130,17131,,India,2020-05-14,81997.0,2649.0,27969.0
17131,17132,,India,2020-05-15,85784.0,2753.0,30258.0
17132,17133,,India,2020-05-16,90648.0,2871.0,34224.0
17133,17134,,India,2020-05-17,95698.0,3025.0,36795.0
17134,17135,,India,2020-05-18,100328.0,3156.0,39233.0
