country,date,CLI_ED_visits
US,2019-10-04,"23,105"
US,2019-10-11,"24,057"
US,2019-10-18,"26,444"
US,2019-10-25,"27,533"
US,2019-11-01,"29,257"
US,2019-11-08,"33,909"
US,2019-11-15,"36,240"
US,2019-11-22,"39,283"
US,2019-11-29,"43,048"
US,2019-12-06,"41,809"
US,2019-12-13,"44,030"
US,2019-12-20,"49,676"
US,2019-12-27,"64,395"
US,2020-01-03,"58,829"
US,2020-01-10,"43,457"
US,2020-01-17,"42,412"
US,2020-01-24,"46,099"
US,2020-01-31,"54,095"
US,2020-02-07,"53,251"
US,2020-02-14,"47,471"
US,2020-02-21,"44,056"
US,2020-02-28,"40,842"
US,2020-03-06,"49,497"
US,2020-03-13,"76,810"
US,2020-03-20,"107,625"
US,2020-03-27,"99,436"
US,2020-04-03,"86,908"
US,2020-04-10,"72,548"
US,2020-04-17,"58,799"
US,2020-04-24,"52,797"
US,2020-05-01,"48,193"
US,2020-05-08,"41,451"
US,2020-05-15,"35,359"
