,,,,,,,,,,
National Syndromic Surveillance Program (NSSP): Emergency Department Visits,,,,,,,,,,
Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI),,,,,,,,,,
"September 29, 2019 - May 16, 2020",,,,,,,,,,
"Data as of May 21, 2020",,,,,,,,,,
https://www.cdc.gov/coronavirus/2019-ncov/covid-data/covidview/index.html,,,,,,,,,,
National,,,,,,,,,,
Week,Number of Facilities Reporting,Total Number of ED Visits,CLI Visits,,ILI Visits,,,,,
,,,Number,Percent of Total Visits,Number ,Percent of Total Visits,,,,
201940,"3,294","2,167,084","23,105",1.1,"19,730",0.9,,,,
201941,"3,287","2,121,877","24,057",1.1,"20,604",1.0,,,,
201942,"3,287","2,116,373","26,444",1.2,"22,677",1.1,,,,
201943,"3,288","2,137,441","27,533",1.3,"23,929",1.1,,,,
201944,"3,327","2,095,521","29,257",1.4,"25,625",1.2,,,,
201945,"3,341","2,143,966","33,909",1.6,"30,135",1.4,,,,
201946,"3,357","2,128,124","36,240",1.7,"32,610",1.5,,,,
201947,"3,367","2,215,980","39,283",1.8,"36,246",1.6,,,,
201948,"3,370","2,104,618","43,048",2.0,"39,914",1.9,,,,
201949,"3,371","2,231,853","41,809",1.9,"37,853",1.7,,,,
201950,"3,377","2,245,770","44,030",2.0,"42,637",1.9,,,,
201951,"3,376","2,229,401","49,676",2.2,"51,048",2.3,,,,
201952,"3,379","2,336,211","64,395",2.8,"68,767",2.9,,,,
202001,"3,395","2,413,469","58,829",2.4,"57,740",2.4,,,,
202002,"3,392","2,297,996","43,457",1.9,"42,731",1.9,,,,
202003,"3,398","2,268,646","42,412",1.9,"44,732",2.0,,,,
202004,"3,416","2,266,361","46,099",2.0,"49,730",2.2,,,,
202005,"3,430","2,358,775","54,095",2.3,"59,864",2.5,,,,
202006,"3,428","2,346,984","53,251",2.3,"59,158",2.5,,,,
202007,"3,443","2,281,055","47,471",2.1,"51,024",2.2,,,,
202008,"3,442","2,263,292","44,056",1.9,"46,060",2.0,,,,
202009,"3,451","2,226,956","40,842",1.8,"41,875",1.9,,,,
202010,"3,462","2,257,828","49,497",2.2,"49,991",2.2,,,,
202011,"3,462","2,243,393","76,810",3.4,"71,568",3.2,,,,
202012,"3,461","1,800,248","107,625",6.0,"84,534",4.7,,,,
202013,"3,469","1,446,269","99,436",6.9,"62,396",4.3,,,,
