"","country_area","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90-100"
"1","Brazil",32057541.1222015,38066728.1407428,38280671.0682683,33024384.8883467,27685785.9632628,20524272.8912613,12648847.7619764,7026654.34884844,2771011.87073445,473518.944357316
"2","Canada",4056417.21845142,4174396.31512627,5104785.14369371,5159738.55431634,4874149.7215605,5403452.20360314,4576020.54168978,2786306.20982211,1293699.28949403,313188.802242702
"3","China",158119255.290275,188771787.731713,246687941.656386,232365484.95693,248763754.912933,172862110.862908,107757532.33076,61367373.396038,20524492.9202362,2104041.94182113
"4","France",7542636.44091514,8018644.95385953,7361016.89857316,8095669.99258889,8451221.78677952,8596141.82145312,7861875.61073352,5371834.26635619,3169436.62261367,805032.606127271
"5","Germany",7579633.75931809,7857292.0891637,10020421.5038364,10579980.8995639,10861529.7535802,13531373.6267999,10208827.5251523,7942308.74637864,4433670.29101513,768903.805191697
"6","India",274379133.665217,289830892.869561,243595556.531624,198842272.121027,154230169.957353,100963354.336711,73384518.9849726,32551420.2194502,9846677.73307966,2380388.58100555
"7","Italy",5214371.12651067,5761795.99579153,6234258.12442474,7206713.1448115,9425465.09559674,9210993.89213688,7333569.01438983,5879103.68161772,3460450.75583544,735105.168884953
"8","Mexico",22365751.8995443,22619435.6180333,21840968.6334275,18964287.4588213,16329472.9918238,12629564.8477791,8025620.73532328,4158818.70545854,1667914.03811882,330918.071670251
"9","Netherlands",1791465.33499676,2009220.08510518,2169247.27559393,2072707.53443967,2301098.38219637,2484837.36802364,2073834.57779513,1456843.17061241,653028.867819185,122589.403417719
"10","South Korea",3812160.10351101,4366132.85234017,3835483.2749731,4174828.39953739,3831684.85947466,2377200.39841865,2113101.19893447,1069744.84156475,187465.309372914,11014.7618728907
"11","Spain",4540644.71755159,4723076.40020637,4784831.46725364,6445947.85246645,7758328.97494314,6812953.14526339,5131775.60953119,3673699.31645751,2381439.48284801,502081.033478716
"12","UK",8274180.65870957,7658039.69766213,8953952.54975379,8991610.01975719,8777251.87714849,9130375.56831552,7249061.43882525,5525098.26139927,2745094.83444122,581346.093987563
"13","US",40486509.299226,42481015.952047,45981151.0630027,44224569.6856543,40947500.462845,43340013.6243086,37868054.1085834,22944854.300805,10146749.2832712,2582233.2202566
