"","country_area","year","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90-100"
"1","Belgium",2018,1292112,1271983,1418401,1479781,1513991,1594245,1309998,881301,528364,107373
"2","Brazil",2010,57531066,68315266,68699212,59266182,49685432,36833246,22699860,12610166,4972910,849786
"3","Canada",2018,3981907,4097719,5011018,5064962,4784619,5304199,4491966,2735126,1269936,307436
"4","China",2010,292828318,349595152,456852740,430328324,460697034,320131290,199561128,113649060,38010252,3896572
"5","Democratic People's Republic of Korea",2008,3556824,4073692,3578585,3895201,3575041,2217977,1971567,998094,174909,10277
"6","Egypt",2006,NA,NA,NA,NA,NA,NA,NA,NA,607928,84362
"7","Egypt",2017,46832188,36073208,32799102,27661408,19090468,14516934,8739122,2031900,NA,NA
"8","France",2019,7486424,7958885,7306158,8035336,8388238,8532078,7803284,5331800,3145816,799033
"9","Germany",2018,7488994,7763332,9900594,10453462,10731644,13369561,10086747,7847332,4380651,759709
"10","Ghana",2010,13068716,11052058,8747204,6200424,4248896,2713586,1539440,1114566,484308,138628
"11","Italy",2018,5215363,5762892,6235444,7208084,9427258,9212746,7334964,5880222,3461109,735245
"12","Kenya",2009,23074044,18408796,13952658,9056276,5497828,3336318,1969082,1115618,NA,NA
"13","Mexico",2019,21955021,22204046,21439875,18616022,16029594,12397632,7878236,4082445,1637284,324841
"14","Peru",2017,10281248,10071810,9790112,8759554,7320756,5545136,3692814,2156132,969184,170732
"15","South Africa",2011,10505204,9598366,10433857,7496777,5568900,4015696,2343573,1229596,469648,93334
"16","Spain",2018,4530199,4712211,4773824,6431119,7740481,6797280,5119970,3665248,2375961,500926
"17","United States of America",2018,40005917,41976748,45435335,43699605,40461436,42825549,37418544,22672489,10026303,2551581
