"Province","Country","Date","Count"
"Anhui","China",2020-01-22,0
"Beijing","China",2020-01-22,0
"Chongqing","China",2020-01-22,0
"Fujian","China",2020-01-22,0
"Gansu","China",2020-01-22,0
"Guangdong","China",2020-01-22,0
"Guangxi","China",2020-01-22,0
"Guizhou","China",2020-01-22,0
"Hainan","China",2020-01-22,0
"Hebei","China",2020-01-22,0
"Heilongjiang","China",2020-01-22,0
"Henan","China",2020-01-22,0
"Hong Kong","China",2020-01-22,0
"Hubei","China",2020-01-22,28
"Hunan","China",2020-01-22,0
"Inner Mongolia","China",2020-01-22,0
"Jiangsu","China",2020-01-22,0
"Jiangxi","China",2020-01-22,0
"Jilin","China",2020-01-22,0
"Liaoning","China",2020-01-22,0
"Macau","China",2020-01-22,0
"Ningxia","China",2020-01-22,0
"Qinghai","China",2020-01-22,0
"Shaanxi","China",2020-01-22,0
"Shandong","China",2020-01-22,0
"Shanghai","China",2020-01-22,0
"Shanxi","China",2020-01-22,0
"Sichuan","China",2020-01-22,0
"Tianjin","China",2020-01-22,0
"Tibet","China",2020-01-22,0
"Xinjiang","China",2020-01-22,0
"Yunnan","China",2020-01-22,0
"Zhejiang","China",2020-01-22,0
"Anhui","China",2020-01-23,0
"Beijing","China",2020-01-23,0
"Chongqing","China",2020-01-23,0
"Fujian","China",2020-01-23,0
"Gansu","China",2020-01-23,0
"Guangdong","China",2020-01-23,2
"Guangxi","China",2020-01-23,0
"Guizhou","China",2020-01-23,0
"Hainan","China",2020-01-23,0
"Hebei","China",2020-01-23,0
"Heilongjiang","China",2020-01-23,0
"Henan","China",2020-01-23,0
"Hong Kong","China",2020-01-23,0
"Hubei","China",2020-01-23,28
"Hunan","China",2020-01-23,0
"Inner Mongolia","China",2020-01-23,0
"Jiangsu","China",2020-01-23,0
"Jiangxi","China",2020-01-23,0
"Jilin","China",2020-01-23,0
"Liaoning","China",2020-01-23,0
"Macau","China",2020-01-23,0
"Ningxia","China",2020-01-23,0
"Qinghai","China",2020-01-23,0
"Shaanxi","China",2020-01-23,0
"Shandong","China",2020-01-23,0
"Shanghai","China",2020-01-23,0
"Shanxi","China",2020-01-23,0
"Sichuan","China",2020-01-23,0
"Tianjin","China",2020-01-23,0
"Tibet","China",2020-01-23,0
"Xinjiang","China",2020-01-23,0
"Yunnan","China",2020-01-23,0
"Zhejiang","China",2020-01-23,0
"Anhui","China",2020-01-24,0
"Beijing","China",2020-01-24,1
"Chongqing","China",2020-01-24,0
"Fujian","China",2020-01-24,0
"Gansu","China",2020-01-24,0
"Guangdong","China",2020-01-24,2
"Guangxi","China",2020-01-24,0
"Guizhou","China",2020-01-24,0
"Hainan","China",2020-01-24,0
"Hebei","China",2020-01-24,0
"Heilongjiang","China",2020-01-24,0
"Henan","China",2020-01-24,0
"Hong Kong","China",2020-01-24,0
"Hubei","China",2020-01-24,31
"Hunan","China",2020-01-24,0
"Inner Mongolia","China",2020-01-24,0
"Jiangsu","China",2020-01-24,0
"Jiangxi","China",2020-01-24,0
"Jilin","China",2020-01-24,0
"Liaoning","China",2020-01-24,0
"Macau","China",2020-01-24,0
"Ningxia","China",2020-01-24,0
"Qinghai","China",2020-01-24,0
"Shaanxi","China",2020-01-24,0
"Shandong","China",2020-01-24,0
"Shanghai","China",2020-01-24,1
"Shanxi","China",2020-01-24,0
"Sichuan","China",2020-01-24,0
"Tianjin","China",2020-01-24,0
"Tibet","China",2020-01-24,0
"Xinjiang","China",2020-01-24,0
"Yunnan","China",2020-01-24,0
"Zhejiang","China",2020-01-24,1
"Anhui","China",2020-01-25,0
"Beijing","China",2020-01-25,2
"Chongqing","China",2020-01-25,0
"Fujian","China",2020-01-25,0
"Gansu","China",2020-01-25,0
"Guangdong","China",2020-01-25,2
"Guangxi","China",2020-01-25,0
"Guizhou","China",2020-01-25,0
"Hainan","China",2020-01-25,0
"Hebei","China",2020-01-25,0
"Heilongjiang","China",2020-01-25,0
"Henan","China",2020-01-25,0
"Hong Kong","China",2020-01-25,0
"Hubei","China",2020-01-25,32
"Hunan","China",2020-01-25,0
"Inner Mongolia","China",2020-01-25,0
"Jiangsu","China",2020-01-25,1
"Jiangxi","China",2020-01-25,0
"Jilin","China",2020-01-25,0
"Liaoning","China",2020-01-25,0
"Macau","China",2020-01-25,0
"Ningxia","China",2020-01-25,0
"Qinghai","China",2020-01-25,0
"Shaanxi","China",2020-01-25,0
"Shandong","China",2020-01-25,0
"Shanghai","China",2020-01-25,1
"Shanxi","China",2020-01-25,0
"Sichuan","China",2020-01-25,0
"Tianjin","China",2020-01-25,0
"Tibet","China",2020-01-25,0
"Xinjiang","China",2020-01-25,0
"Yunnan","China",2020-01-25,0
"Zhejiang","China",2020-01-25,1
"Anhui","China",2020-01-26,0
"Beijing","China",2020-01-26,2
"Chongqing","China",2020-01-26,0
"Fujian","China",2020-01-26,0
"Gansu","China",2020-01-26,0
"Guangdong","China",2020-01-26,2
"Guangxi","China",2020-01-26,0
"Guizhou","China",2020-01-26,0
"Hainan","China",2020-01-26,0
"Hebei","China",2020-01-26,0
"Heilongjiang","China",2020-01-26,0
"Henan","China",2020-01-26,0
"Hong Kong","China",2020-01-26,0
"Hubei","China",2020-01-26,42
"Hunan","China",2020-01-26,0
"Inner Mongolia","China",2020-01-26,0
"Jiangsu","China",2020-01-26,1
"Jiangxi","China",2020-01-26,0
"Jilin","China",2020-01-26,0
"Liaoning","China",2020-01-26,0
"Macau","China",2020-01-26,0
"Ningxia","China",2020-01-26,0
"Qinghai","China",2020-01-26,0
"Shaanxi","China",2020-01-26,0
"Shandong","China",2020-01-26,0
"Shanghai","China",2020-01-26,1
"Shanxi","China",2020-01-26,0
"Sichuan","China",2020-01-26,0
"Tianjin","China",2020-01-26,0
"Tibet","China",2020-01-26,0
"Xinjiang","China",2020-01-26,0
"Yunnan","China",2020-01-26,0
"Zhejiang","China",2020-01-26,1
"Anhui","China",2020-01-27,0
"Beijing","China",2020-01-27,2
"Chongqing","China",2020-01-27,0
"Fujian","China",2020-01-27,0
"Gansu","China",2020-01-27,0
"Guangdong","China",2020-01-27,4
"Guangxi","China",2020-01-27,0
"Guizhou","China",2020-01-27,0
"Hainan","China",2020-01-27,0
"Hebei","China",2020-01-27,0
"Heilongjiang","China",2020-01-27,0
"Henan","China",2020-01-27,0
"Hong Kong","China",2020-01-27,0
"Hubei","China",2020-01-27,45
"Hunan","China",2020-01-27,0
"Inner Mongolia","China",2020-01-27,0
"Jiangsu","China",2020-01-27,1
"Jiangxi","China",2020-01-27,2
"Jilin","China",2020-01-27,0
"Liaoning","China",2020-01-27,0
"Macau","China",2020-01-27,0
"Ningxia","China",2020-01-27,0
"Qinghai","China",2020-01-27,0
"Shaanxi","China",2020-01-27,0
"Shandong","China",2020-01-27,0
"Shanghai","China",2020-01-27,3
"Shanxi","China",2020-01-27,0
"Sichuan","China",2020-01-27,0
"Tianjin","China",2020-01-27,0
"Tibet","China",2020-01-27,0
"Xinjiang","China",2020-01-27,0
"Yunnan","China",2020-01-27,0
"Zhejiang","China",2020-01-27,1
"Anhui","China",2020-01-28,0
"Beijing","China",2020-01-28,4
"Chongqing","China",2020-01-28,0
"Fujian","China",2020-01-28,0
"Gansu","China",2020-01-28,0
"Guangdong","China",2020-01-28,4
"Guangxi","China",2020-01-28,2
"Guizhou","China",2020-01-28,0
"Hainan","China",2020-01-28,0
"Hebei","China",2020-01-28,0
"Heilongjiang","China",2020-01-28,0
"Henan","China",2020-01-28,0
"Hong Kong","China",2020-01-28,0
"Hubei","China",2020-01-28,80
"Hunan","China",2020-01-28,0
"Inner Mongolia","China",2020-01-28,0
"Jiangsu","China",2020-01-28,1
"Jiangxi","China",2020-01-28,3
"Jilin","China",2020-01-28,0
"Liaoning","China",2020-01-28,0
"Macau","China",2020-01-28,0
"Ningxia","China",2020-01-28,0
"Qinghai","China",2020-01-28,0
"Shaanxi","China",2020-01-28,0
"Shandong","China",2020-01-28,0
"Shanghai","China",2020-01-28,4
"Shanxi","China",2020-01-28,0
"Sichuan","China",2020-01-28,0
"Tianjin","China",2020-01-28,0
"Tibet","China",2020-01-28,0
"Xinjiang","China",2020-01-28,0
"Yunnan","China",2020-01-28,0
"Zhejiang","China",2020-01-28,3
"Anhui","China",2020-01-29,2
"Beijing","China",2020-01-29,4
"Chongqing","China",2020-01-29,1
"Fujian","China",2020-01-29,0
"Gansu","China",2020-01-29,0
"Guangdong","China",2020-01-29,5
"Guangxi","China",2020-01-29,2
"Guizhou","China",2020-01-29,1
"Hainan","China",2020-01-29,0
"Hebei","China",2020-01-29,0
"Heilongjiang","China",2020-01-29,0
"Henan","China",2020-01-29,1
"Hong Kong","China",2020-01-29,0
"Hubei","China",2020-01-29,88
"Hunan","China",2020-01-29,0
"Inner Mongolia","China",2020-01-29,0
"Jiangsu","China",2020-01-29,1
"Jiangxi","China",2020-01-29,3
"Jilin","China",2020-01-29,0
"Liaoning","China",2020-01-29,1
"Macau","China",2020-01-29,0
"Ningxia","China",2020-01-29,0
"Qinghai","China",2020-01-29,0
"Shaanxi","China",2020-01-29,0
"Shandong","China",2020-01-29,1
"Shanghai","China",2020-01-29,5
"Shanxi","China",2020-01-29,1
"Sichuan","China",2020-01-29,1
"Tianjin","China",2020-01-29,0
"Tibet","China",2020-01-29,0
"Xinjiang","China",2020-01-29,0
"Yunnan","China",2020-01-29,0
"Zhejiang","China",2020-01-29,3
"Anhui","China",2020-01-30,2
"Beijing","China",2020-01-30,4
"Chongqing","China",2020-01-30,1
"Fujian","China",2020-01-30,0
"Gansu","China",2020-01-30,0
"Guangdong","China",2020-01-30,10
"Guangxi","China",2020-01-30,2
"Guizhou","China",2020-01-30,1
"Hainan","China",2020-01-30,1
"Hebei","China",2020-01-30,0
"Heilongjiang","China",2020-01-30,0
"Henan","China",2020-01-30,2
"Hong Kong","China",2020-01-30,0
"Hubei","China",2020-01-30,90
"Hunan","China",2020-01-30,2
"Inner Mongolia","China",2020-01-30,0
"Jiangsu","China",2020-01-30,1
"Jiangxi","China",2020-01-30,5
"Jilin","China",2020-01-30,1
"Liaoning","China",2020-01-30,1
"Macau","China",2020-01-30,0
"Ningxia","China",2020-01-30,0
"Qinghai","China",2020-01-30,0
"Shaanxi","China",2020-01-30,0
"Shandong","China",2020-01-30,1
"Shanghai","China",2020-01-30,5
"Shanxi","China",2020-01-30,1
"Sichuan","China",2020-01-30,1
"Tianjin","China",2020-01-30,0
"Tibet","China",2020-01-30,0
"Xinjiang","China",2020-01-30,0
"Yunnan","China",2020-01-30,0
"Zhejiang","China",2020-01-30,4
"Anhui","China",2020-01-31,3
"Beijing","China",2020-01-31,5
"Chongqing","China",2020-01-31,1
"Fujian","China",2020-01-31,0
"Gansu","China",2020-01-31,0
"Guangdong","China",2020-01-31,11
"Guangxi","China",2020-01-31,2
"Guizhou","China",2020-01-31,2
"Hainan","China",2020-01-31,1
"Hebei","China",2020-01-31,0
"Heilongjiang","China",2020-01-31,0
"Henan","China",2020-01-31,3
"Hong Kong","China",2020-01-31,0
"Hubei","China",2020-01-31,141
"Hunan","China",2020-01-31,2
"Inner Mongolia","China",2020-01-31,1
"Jiangsu","China",2020-01-31,5
"Jiangxi","China",2020-01-31,7
"Jilin","China",2020-01-31,1
"Liaoning","China",2020-01-31,1
"Macau","China",2020-01-31,0
"Ningxia","China",2020-01-31,0
"Qinghai","China",2020-01-31,0
"Shaanxi","China",2020-01-31,0
"Shandong","China",2020-01-31,2
"Shanghai","China",2020-01-31,9
"Shanxi","China",2020-01-31,1
"Sichuan","China",2020-01-31,1
"Tianjin","China",2020-01-31,0
"Tibet","China",2020-01-31,0
"Xinjiang","China",2020-01-31,0
"Yunnan","China",2020-01-31,1
"Zhejiang","China",2020-01-31,14
"Anhui","China",2020-02-01,5
"Beijing","China",2020-02-01,9
"Chongqing","China",2020-02-01,3
"Fujian","China",2020-02-01,0
"Gansu","China",2020-02-01,0
"Guangdong","China",2020-02-01,14
"Guangxi","China",2020-02-01,2
"Guizhou","China",2020-02-01,2
"Hainan","China",2020-02-01,1
"Hebei","China",2020-02-01,0
"Heilongjiang","China",2020-02-01,2
"Henan","China",2020-02-01,3
"Hong Kong","China",2020-02-01,0
"Hubei","China",2020-02-01,168
"Hunan","China",2020-02-01,8
"Inner Mongolia","China",2020-02-01,1
"Jiangsu","China",2020-02-01,6
"Jiangxi","China",2020-02-01,9
"Jilin","China",2020-02-01,1
"Liaoning","China",2020-02-01,1
"Macau","China",2020-02-01,0
"Ningxia","China",2020-02-01,0
"Qinghai","China",2020-02-01,0
"Shaanxi","China",2020-02-01,0
"Shandong","China",2020-02-01,3
"Shanghai","China",2020-02-01,10
"Shanxi","China",2020-02-01,1
"Sichuan","China",2020-02-01,3
"Tianjin","China",2020-02-01,0
"Tibet","China",2020-02-01,0
"Xinjiang","China",2020-02-01,0
"Yunnan","China",2020-02-01,2
"Zhejiang","China",2020-02-01,21
"Anhui","China",2020-02-02,7
"Beijing","China",2020-02-02,9
"Chongqing","China",2020-02-02,7
"Fujian","China",2020-02-02,0
"Gansu","China",2020-02-02,3
"Guangdong","China",2020-02-02,15
"Guangxi","China",2020-02-02,2
"Guizhou","China",2020-02-02,2
"Hainan","China",2020-02-02,4
"Hebei","China",2020-02-02,3
"Heilongjiang","China",2020-02-02,2
"Henan","China",2020-02-02,10
"Hong Kong","China",2020-02-02,0
"Hubei","China",2020-02-02,295
"Hunan","China",2020-02-02,16
"Inner Mongolia","China",2020-02-02,1
"Jiangsu","China",2020-02-02,7
"Jiangxi","China",2020-02-02,12
"Jilin","China",2020-02-02,1
"Liaoning","China",2020-02-02,1
"Macau","China",2020-02-02,0
"Ningxia","China",2020-02-02,0
"Qinghai","China",2020-02-02,0
"Shaanxi","China",2020-02-02,0
"Shandong","China",2020-02-02,6
"Shanghai","China",2020-02-02,10
"Shanxi","China",2020-02-02,3
"Sichuan","China",2020-02-02,11
"Tianjin","China",2020-02-02,1
"Tibet","China",2020-02-02,0
"Xinjiang","China",2020-02-02,0
"Yunnan","China",2020-02-02,3
"Zhejiang","China",2020-02-02,32
"Anhui","China",2020-02-03,14
"Beijing","China",2020-02-03,12
"Chongqing","China",2020-02-03,9
"Fujian","China",2020-02-03,1
"Gansu","China",2020-02-03,3
"Guangdong","China",2020-02-03,21
"Guangxi","China",2020-02-03,7
"Guizhou","China",2020-02-03,2
"Hainan","China",2020-02-03,4
"Hebei","China",2020-02-03,3
"Heilongjiang","China",2020-02-03,2
"Henan","China",2020-02-03,16
"Hong Kong","China",2020-02-03,0
"Hubei","China",2020-02-03,386
"Hunan","China",2020-02-03,22
"Inner Mongolia","China",2020-02-03,1
"Jiangsu","China",2020-02-03,8
"Jiangxi","China",2020-02-03,18
"Jilin","China",2020-02-03,1
"Liaoning","China",2020-02-03,1
"Macau","China",2020-02-03,0
"Ningxia","China",2020-02-03,1
"Qinghai","China",2020-02-03,0
"Shaanxi","China",2020-02-03,0
"Shandong","China",2020-02-03,7
"Shanghai","China",2020-02-03,10
"Shanxi","China",2020-02-03,2
"Sichuan","China",2020-02-03,14
"Tianjin","China",2020-02-03,1
"Tibet","China",2020-02-03,0
"Xinjiang","China",2020-02-03,0
"Yunnan","China",2020-02-03,5
"Zhejiang","China",2020-02-03,43
"Anhui","China",2020-02-04,20
"Beijing","China",2020-02-04,23
"Chongqing","China",2020-02-04,9
"Fujian","China",2020-02-04,3
"Gansu","China",2020-02-04,4
"Guangdong","China",2020-02-04,30
"Guangxi","China",2020-02-04,10
"Guizhou","China",2020-02-04,2
"Hainan","China",2020-02-04,5
"Hebei","China",2020-02-04,4
"Heilongjiang","China",2020-02-04,4
"Henan","China",2020-02-04,27
"Hong Kong","China",2020-02-04,0
"Hubei","China",2020-02-04,522
"Hunan","China",2020-02-04,31
"Inner Mongolia","China",2020-02-04,1
"Jiangsu","China",2020-02-04,12
"Jiangxi","China",2020-02-04,20
"Jilin","China",2020-02-04,1
"Liaoning","China",2020-02-04,2
"Macau","China",2020-02-04,0
"Ningxia","China",2020-02-04,1
"Qinghai","China",2020-02-04,0
"Shaanxi","China",2020-02-04,2
"Shandong","China",2020-02-04,11
"Shanghai","China",2020-02-04,12
"Shanxi","China",2020-02-04,4
"Sichuan","China",2020-02-04,14
"Tianjin","China",2020-02-04,2
"Tibet","China",2020-02-04,0
"Xinjiang","China",2020-02-04,0
"Yunnan","China",2020-02-04,5
"Zhejiang","China",2020-02-04,62
"Anhui","China",2020-02-05,23
"Beijing","China",2020-02-05,24
"Chongqing","China",2020-02-05,15
"Fujian","China",2020-02-05,11
"Gansu","China",2020-02-05,6
"Guangdong","China",2020-02-05,49
"Guangxi","China",2020-02-05,13
"Guizhou","China",2020-02-05,9
"Hainan","China",2020-02-05,5
"Hebei","China",2020-02-05,6
"Heilongjiang","China",2020-02-05,7
"Henan","China",2020-02-05,47
"Hong Kong","China",2020-02-05,0
"Hubei","China",2020-02-05,633
"Hunan","China",2020-02-05,54
"Inner Mongolia","China",2020-02-05,3
"Jiangsu","China",2020-02-05,23
"Jiangxi","China",2020-02-05,27
"Jilin","China",2020-02-05,2
"Liaoning","China",2020-02-05,4
"Macau","China",2020-02-05,0
"Ningxia","China",2020-02-05,1
"Qinghai","China",2020-02-05,3
"Shaanxi","China",2020-02-05,6
"Shandong","China",2020-02-05,15
"Shanghai","China",2020-02-05,15
"Shanxi","China",2020-02-05,5
"Sichuan","China",2020-02-05,24
"Tianjin","China",2020-02-05,2
"Tibet","China",2020-02-05,0
"Xinjiang","China",2020-02-05,0
"Yunnan","China",2020-02-05,5
"Zhejiang","China",2020-02-05,78
"Anhui","China",2020-02-06,34
"Beijing","China",2020-02-06,31
"Chongqing","China",2020-02-06,24
"Fujian","China",2020-02-06,14
"Gansu","China",2020-02-06,6
"Guangdong","China",2020-02-06,69
"Guangxi","China",2020-02-06,14
"Guizhou","China",2020-02-06,6
"Hainan","China",2020-02-06,8
"Hebei","China",2020-02-06,13
"Heilongjiang","China",2020-02-06,8
"Henan","China",2020-02-06,56
"Hong Kong","China",2020-02-06,0
"Hubei","China",2020-02-06,817
"Hunan","China",2020-02-06,81
"Inner Mongolia","China",2020-02-06,4
"Jiangsu","China",2020-02-06,34
"Jiangxi","China",2020-02-06,37
"Jilin","China",2020-02-06,4
"Liaoning","China",2020-02-06,5
"Macau","China",2020-02-06,1
"Ningxia","China",2020-02-06,1
"Qinghai","China",2020-02-06,3
"Shaanxi","China",2020-02-06,9
"Shandong","China",2020-02-06,27
"Shanghai","China",2020-02-06,25
"Shanxi","China",2020-02-06,12
"Sichuan","China",2020-02-06,31
"Tianjin","China",2020-02-06,2
"Tibet","China",2020-02-06,0
"Xinjiang","China",2020-02-06,0
"Yunnan","China",2020-02-06,7
"Zhejiang","China",2020-02-06,94
"Anhui","China",2020-02-07,47
"Beijing","China",2020-02-07,33
"Chongqing","China",2020-02-07,31
"Fujian","China",2020-02-07,20
"Gansu","China",2020-02-07,9
"Guangdong","China",2020-02-07,88
"Guangxi","China",2020-02-07,17
"Guizhou","China",2020-02-07,6
"Hainan","China",2020-02-07,10
"Hebei","China",2020-02-07,22
"Heilongjiang","China",2020-02-07,12
"Henan","China",2020-02-07,86
"Hong Kong","China",2020-02-07,0
"Hubei","China",2020-02-07,1115
"Hunan","China",2020-02-07,112
"Inner Mongolia","China",2020-02-07,5
"Jiangsu","China",2020-02-07,43
"Jiangxi","China",2020-02-07,45
"Jilin","China",2020-02-07,4
"Liaoning","China",2020-02-07,7
"Macau","China",2020-02-07,1
"Ningxia","China",2020-02-07,5
"Qinghai","China",2020-02-07,3
"Shaanxi","China",2020-02-07,17
"Shandong","China",2020-02-07,37
"Shanghai","China",2020-02-07,30
"Shanxi","China",2020-02-07,15
"Sichuan","China",2020-02-07,42
"Tianjin","China",2020-02-07,2
"Tibet","China",2020-02-07,0
"Xinjiang","China",2020-02-07,0
"Yunnan","China",2020-02-07,12
"Zhejiang","China",2020-02-07,123
"Anhui","China",2020-02-08,59
"Beijing","China",2020-02-08,34
"Chongqing","China",2020-02-08,39
"Fujian","China",2020-02-08,24
"Gansu","China",2020-02-08,12
"Guangdong","China",2020-02-08,112
"Guangxi","China",2020-02-08,17
"Guizhou","China",2020-02-08,7
"Hainan","China",2020-02-08,14
"Hebei","China",2020-02-08,30
"Heilongjiang","China",2020-02-08,13
"Henan","China",2020-02-08,116
"Hong Kong","China",2020-02-08,0
"Hubei","China",2020-02-08,1439
"Hunan","China",2020-02-08,156
"Inner Mongolia","China",2020-02-08,5
"Jiangsu","China",2020-02-08,51
"Jiangxi","China",2020-02-08,55
"Jilin","China",2020-02-08,4
"Liaoning","China",2020-02-08,8
"Macau","China",2020-02-08,1
"Ningxia","China",2020-02-08,15
"Qinghai","China",2020-02-08,3
"Shaanxi","China",2020-02-08,20
"Shandong","China",2020-02-08,44
"Shanghai","China",2020-02-08,41
"Shanxi","China",2020-02-08,21
"Sichuan","China",2020-02-08,60
"Tianjin","China",2020-02-08,4
"Tibet","China",2020-02-08,0
"Xinjiang","China",2020-02-08,0
"Yunnan","China",2020-02-08,17
"Zhejiang","China",2020-02-08,175
"Anhui","China",2020-02-09,72
