country,date,confirmed_new,confirmed_ttl,suspected_new,suspected_ttl,severe_new,severe_ttl,medical_observation,deaths_new,deaths_ttl,recovery_new,recovery_ttl,imported_new,imported_ttl,asymptomatic_new,asymptomatic_ttl
China,1/21/20,77,291,27,54,NA,NA,922,NA,NA,NA,NA,NA,NA,NA,NA
China,1/22/20,149,440,26,37,NA,NA,1394,3,9,NA,NA,NA,NA,NA,NA
China,1/23/20,131,571,257,393,NA,95,4928,8,17,NA,NA,NA,NA,NA,NA
China,1/24/20,259,830,680,1072,82,177,8420,8,25,6,NA,NA,NA,NA,NA
China,1/25/20,444,1287,1118,1965,60,237,1230,16,41,3,38,NA,NA,NA,NA
China,1/26/20,688,1975,1309,2684,87,324,21556,15,56,11,49,NA,NA,NA,NA
China,1/27/20,769,2744,3806,5794,137,461,30453,24,80,2,51,NA,NA,NA,NA
China,1/28/20,1771,4515,2077,6973,515,976,44132,26,106,9,60,NA,NA,NA,NA
China,1/29/20,1459,5974,3248,9239,263,1239,59990,26,132,43,103,NA,NA,NA,NA
China,1/30/20,1737,7711,4148,12167,131,1370,81947,38,170,21,124,NA,NA,NA,NA
China,1/31/20,1982,9692,4812,15238,157,1527,102427,43,213,47,171,NA,NA,NA,NA
China,2/1/20,2102,11791,5019,17988,268,1795,118478,46,259,72,243,NA,NA,NA,NA
China,2/2/20,2590,14380,4562,19544,315,2110,137594,45,304,85,328,NA,NA,NA,NA
China,2/3/20,2829,17205,5173,21558,186,2296,152700,57,361,147,475,NA,NA,NA,NA
China,2/4/20,3235,20438,5072,23214,492,2788,171329,64,425,157,632,NA,NA,NA,NA
China,2/5/20,3887,24324,3971,23260,431,3219,185555,65,490,262,892,NA,NA,NA,NA
China,2/6/20,2694,28018,5328,24702,640,3859,186354,73,563,261,1153,NA,NA,NA,NA
China,2/7/20,3143,31161,4833,26359,962,4821,186045,73,636,387,1540,NA,NA,NA,NA
China,2/8/20,3399,34546,4214,27657,1280,6101,189660,86,722,510,2050,NA,NA,NA,NA
China,2/9/20,2656,37198,3916,28942,87,6188,188183,89,811,600,2649,NA,NA,NA,NA
China,2/10/20,3062,40171,4008,23589,296,6484,187518,97,908,632,3281,NA,NA,NA,NA
China,2/11/20,2478,42638,3536,21675,849,7333,187728,108,1016,716,3996,NA,NA,NA,NA
China,2/12/20,2015,44653,3342,16067,349,7682,185037,97,1113,744,4740,NA,NA,NA,NA
China,2/13/20,15152,59804,2807,13435,348,8030,181386,254,1367,1171,5911,NA,NA,NA,NA
China,2/14/20,5090,63851,2450,10109,2174,10204,177984,121,1380,1081,6723,NA,NA,NA,NA
China,2/15/20,2641,66492,2277,8969,849,11053,169039,143,1523,1373,8096,NA,NA,NA,NA
China,2/16/20,2009,68500,1918,8228,219,11272,158764,142,1665,1323,9419,NA,NA,NA,NA
China,2/17/20,2048,70548,1563,7264,-628,10644,150539,105,1770,1425,10844,NA,NA,NA,NA
China,2/18/20,1886,72436,1432,6242,1097,11741,141552,98,1868,1701,12552,NA,NA,NA,NA
China,2/19/20,1749,74185,1185,5248,236,11977,135881,136,2004,1824,14376,NA,NA,NA,NA
China,2/20/20,394,74576,1277,4922,-113,11864,126363,114,2118,1779,16155,NA,NA,NA,NA
China,2/21/20,889,75465,1614,5206,-231,11633,120302,118,2236,2109,18264,NA,NA,NA,NA
China,2/22/20,397,76288,1361,5365,-156,11477,113564,109,2345,2393,20659,NA,NA,NA,NA
China,2/23/20,648,76936,882,4148,-509,10968,106089,97,2442,2230,22888,NA,NA,NA,NA
China,2/24/20,409,77150,620,3434,-1053,9915,97481,150,2592,1846,24734,NA,NA,NA,NA
China,2/25/20,508,77658,530,2824,-789,9126,87902,71,2663,2589,27323,NA,NA,NA,NA
China,2/26/20,406,78064,439,2491,-374,8752,79108,52,2715,2422,29745,NA,NA,NA,NA
China,2/27/20,433,78497,508,2358,-406,8346,71572,29,2744,2750,32495,NA,NA,NA,NA
China,2/28/20,327,78824,452,2308,-394,7952,65225,44,2788,3622,36117,NA,NA,NA,NA
China,2/29/20,427,79251,248,1418,-288,7664,58233,47,2835,2885,39002,NA,NA,NA,NA
China,3/1/20,573,79824,132,851,-299,7365,51856,35,2870,2623,41625,NA,NA,NA,NA
China,3/2/20,202,80026,141,715,-255,7110,46219,42,2921,2837,44462,NA,NA,NA,NA
China,3/3/20,125,80151,129,587,-304,6806,40651,31,2943,2742,47204,NA,NA,NA,NA
China,3/4/20,119,80270,143,520,-390,6416,36432,38,2981,2652,49856,NA,NA,NA,NA
China,3/5/20,139,80409,143,522,-464,5952,32870,31,3012,2189,52045,NA,NA,NA,NA
China,3/6/20,143,80552,102,482,-215,5737,29896,30,3042,1681,53726,16,36,NA,NA
China,3/7/20,99,80651,99,502,-248,5489,26730,28,3070,1678,55404,24,60,NA,NA
China,3/8/20,44,80695,84,458,-225,5264,23074,27,3097,1661,57065,3,63,NA,NA
China,3/9/20,40,80735,60,421,-153,5111,20146,22,3119,1535,58600,4,67,NA,NA
China,3/10/20,19,80754,36,349,-317,4794,16982,17,3136,1297,59897,2,69,NA,NA
China,3/11/20,24,80778,31,285,-302,4492,14607,22,3158,1578,61475,10,79,NA,NA
China,3/12/20,15,80793,33,253,-235,4257,13701,11,3169,1318,62793,6,85,NA,NA
China,3/13/20,8,80813,33,147,-237,4020,12161,7,3176,1318,64111,3,88,NA,NA
China,3/14/20,11,80824,17,115,-410,3610,10879,13,3189,1430,65541,7,95,NA,NA
China,3/15/20,20,80844,39,113,-384,3226,10189,10,3199,1370,66911,16,111,NA,NA
China,3/16/20,16,80860,41,134,-194,3032,9582,14,3213,838,67749,12,123,NA,NA
China,3/17/20,21,80881,45,128,-202,2830,9351,13,3226,930,68679,20,143,NA,NA
China,3/18/20,13,80894,21,119,-208,2622,9222,11,3237,922,69601,12,155,NA,NA
China,3/19/20,34,80928,23,105,-308,2314,9144,8,3245,819,70420,34,189,NA,NA
China,3/20/20,39,80967,31,104,-178,2136,8989,3,3248,730,71150,39,228,NA,NA
