date,cases_ttl,recovered_ttl,severe_ttl,deaths_ttl,hospitalizations_ttl
2020-01-24,3,0,,0,3
2020-01-25,3,0,,0,3
2020-01-26,3,0,,0,3
2020-01-27,3,0,,0,3
2020-01-28,4,0,1,0,4
2020-01-29,5,0,2,0,5
2020-01-30,6,0,2,0,6
2020-01-31,6,0,2,0,6
2020-02-01,6,0,1,0,6
2020-02-02,6,0,1,0,6
2020-02-03,6,0,1,0,6
2020-02-04,6,0,1,0,6
2020-02-05,6,0,1,0,6
2020-02-06,6,0,1,0,6
2020-02-07,6,0,1,0,6
2020-02-08,11,0,1,0,11
2020-02-09,11,0,1,0,11
2020-02-10,11,0,1,0,11
2020-02-11,11,0,1,0,11
2020-02-12,11,2,1,0,9
2020-02-13,11,3,1,0,8
2020-02-14,11,3,1,1,8
2020-02-15,12,4,,1,7
2020-02-16,12,4,,1,
2020-02-17,12,4,,1,
2020-02-18,12,4,,1,
2020-02-19,12,7,,1,4
2020-02-20,12,7,,1,
2020-02-21,12,11,,1,1
2020-02-22,12,11,,1,1
2020-02-23,12,11,,1,1
2020-02-24,12,11,,1,
2020-02-25,14,11,,1,2
2020-02-26,18,12,1,2,4
2020-02-27,38,12,2,2,24
2020-02-28,57,12,,2,
2020-02-29,100,12,9,2,86
2020-03-01,130,12,9,2,116
2020-03-02,191,12,,3,
2020-03-03,212,12,,4,
2020-03-04,285,12,15,4,
2020-03-05,423,12,23,7,
2020-03-06,613,12,39,9,
2020-03-07,949,12,45,11,
2020-03-08,1126,12,,19,
2020-03-09,1412,12,66,25,
2020-03-10,1784,12,86,33,
2020-03-11,2281,12,105,48,
2020-03-12,2876,12,129,61,
2020-03-13,3661,12,,79,
2020-03-14,4499,12,300,91,
2020-03-15,5423,12,,127,400
2020-03-16,6633,12,,148,
2020-03-17,7730,602,699,175,2579
2020-03-18,9043,1000,931,244,3626
2020-03-19,10995,1122,1122,372,4461
2020-03-20,12612,1587,1297,450,5226
2020-03-21,14459,1811,1525,562,6172
2020-03-22,16689,2117,1746,674,7240
2020-03-23,19856,2567,2082,860,8675
2020-03-24,22302,3000,2516,1100,10176
2020-03-25,25233,3900,2827,1331,11539
2020-03-26,29155,4948,3375,1696,13904
2020-03-27,32964,,3787,1995,15732
2020-03-28,37575,,4273,2314,17620
2020-03-29,40174,,4632,2606,19354
2020-03-30,44550,7924,5107,3024,21008
2020-03-31,52128,9444,5565,3523,22757
2020-04-01,56989,10935,6017,4032,56989
2020-04-02,59105,12428,6399,4503,26246
2020-04-03,64338,14008,6662,5091,27432
2020-04-04,68605,15438,6838,5532,28143
2020-04-05,70478,16183,6978,5889,28891
2020-04-06,74390,17250,7072,6494,29722
2020-04-07,78167,19337,7131,7091,30027
2020-04-08,82048,21254,7148,7632,30375
2020-04-09,86334,23206,7066,8044,30767
2020-04-10,90676,24932,7004,8598,31267
2020-04-11,93790,26391,6883,8943,31320
2020-04-12,95403,27186,6845,9253,31826
2020-04-13,98076,27718,6821,9588,32113
2020-04-14,103573,28805,6730,10129,32292
2020-04-15,106206,30995,6457,10643,31779
2020-04-16,108847,32812,6248,11060,31305
2020-04-17,109252,34420,6027,11478,31190
2020-04-18,111821,35983,5833,11842,30639
2020-04-19,112606,36578,5744,12069,30610
2020-04-20,114657,37409,5683,12513,30584
2020-04-21,117324,39181,5433,12900,30106
2020-04-22,119151,40657,5218,13236,29741
2020-04-23,120804,42088,5053,13547,29219
2020-04-24,122577,43493,4870,13852,28658
2020-04-25,124114,44594,4725,14050,28222
2020-04-26,124575,44903,4682,14202,28217
2020-04-27,128339,45513,4608,14497,28055
2020-04-28,129859,46886,4387,14810,27484
2020-04-29,128442,48228,4207,15053,26834
2020-04-30,129581,49476,4019,15244,26283
2020-05-01,130185,50212,3878,15369,25887
2020-05-02,130979,50562,3827,15487,25827
2020-05-03,131287,50784,3819,15583,25815
2020-05-04,131863,51371,3696,15826,25548
2020-05-05,132967,52736,3430,16060,24775
2020-05-06,137150,53972,3147,16237,23983
2020-05-07,137779,55027,2961,16386,23208
2020-05-08,138421,55782,2868,16497,22724
2020-05-09,138854,56038,2812,16573,22614
2020-05-10,139063,56217,2776,16642,22569
2020-05-11,139519,56724,2712,16820,22284
2020-05-12,140227,57785,2542,17003,21595
2020-05-13,140734,58673,2428,17101,21071
2020-05-14,141356,59605,2299,17224,20463
2020-05-15,141919,60448,2203,17342,19861
2020-05-16,142291,61066,2132,17412,19432
2020-05-17,142411,61213,2087,17466,19361
2020-05-18,142903,61728,1998,17589,19015
2020-05-19,143427,62563,1894,17714,18468
2020-05-20,143845,63354,1794,17812,17941
2020-05-21,144163,63858,1745,17870,17583
2020-05-22,144556,64209,1701,17944,17383
2020-05-23,144806,64547,1665,17987,17178
2020-05-24,144921,64617,1655,18022,17185
2020-05-25,145279,65199,1609,18112,16798
2020-05-26,145555,65879,1555,18195,16264
2020-05-27,145746,66584,1501,18260,15680
2020-05-28,149071,67191,1429,18326,15208
2020-05-29,149668,67803,1361,18387,14695
2020-05-30,151496,68268,1325,18444,14380
2020-05-31,151753,68355,1319,18475,14322
2020-06-01,152091,68440,1302,18506,14288
2020-06-02,151325,68812,1253,18590,14028
2020-06-03,151677,69455,1210,18671,13514
2020-06-04,152444,69976,1163,18715,13101
2020-06-05,153055,70504,1094,18761,12696
2020-06-06,153634,70806,1059,18792,12479
2020-06-07,153977,70842,1053,18805,12461
2020-06-08,154188,71062,1024,18859,12315
