date,country,hospitalizations_ttl
2020-03-12,Netherlands,86
2020-03-13,Netherlands,115
2020-03-14,Netherlands,136
2020-03-15,Netherlands,162
2020-03-16,Netherlands,205
2020-03-17,Netherlands,314
2020-03-18,Netherlands,408
2020-03-19,Netherlands,489
2020-03-20,Netherlands,643
2020-03-21,Netherlands,836
2020-03-22,Netherlands,988
2020-03-23,Netherlands,1230
2020-03-24,Netherlands,1495
2020-03-25,Netherlands,1836
2020-03-26,Netherlands,2151
2020-03-27,Netherlands,2500
2020-03-28,Netherlands,2954
2020-03-29,Netherlands,3483
2020-03-30,Netherlands,3990
2020-03-31,Netherlands,4712
2020-04-01,Netherlands,5159
2020-04-02,Netherlands,5784
2020-04-03,Netherlands,6286
2020-04-04,Netherlands,6622
2020-04-05,Netherlands,6875
2020-04-06,Netherlands,7135
2020-04-07,Netherlands,7427
2020-04-08,Netherlands,7735
2020-04-09,Netherlands,7972
2020-04-10,Netherlands,8197
2020-04-11,Netherlands,8386
2020-04-12,Netherlands,8582
2020-04-13,Netherlands,8729
2020-04-14,Netherlands,8939
2020-04-15,Netherlands,9127
2020-04-16,Netherlands,9309
2020-04-17,Netherlands,9465
2020-04-18,Netherlands,9594
2020-04-19,Netherlands,9704
2020-04-20,Netherlands,9779
2020-04-21,Netherlands,9897
2020-04-22,Netherlands,10021
2020-04-23,Netherlands,10158
2020-04-24,Netherlands,10281
2020-04-25,Netherlands,10381
2020-04-26,Netherlands,10456
2020-04-27,Netherlands,10521
2020-04-28,Netherlands,10609
2020-04-29,Netherlands,10685
2020-04-30,Netherlands,10769
2020-05-01,Netherlands,10854
2020-05-02,Netherlands,10951
2020-05-03,Netherlands,10995
2020-05-04,Netherlands,11037
2020-05-05,Netherlands,11126
2020-05-06,Netherlands,11153
2020-05-07,Netherlands,11192
2020-05-08,Netherlands,11227
2020-05-09,Netherlands,11285
2020-05-10,Netherlands,11307
2020-05-11,Netherlands,11343
2020-05-12,Netherlands,11378
