,dates,prediction,+,-
0,2020-01-22,0.0,0.0,0.0
1,2020-01-23,7.223107998802387e-06,8.954652603583923e-07,-8.971060051956188e-07
2,2020-01-24,0.00012775698200855382,1.5725830796755518e-05,-1.5779450281766408e-05
3,2020-01-25,0.0008845621101437461,0.000108336719128071,-0.00010882602448693702
4,2020-01-26,0.004665647061597458,0.0005697939491521907,-0.0005727241810054001
5,2020-01-27,0.022518897066921124,0.0027464330888326664,-0.0027613600988902337
6,2020-01-28,0.10535062494668909,0.012841227175687003,-0.012912633655216055
7,2020-01-29,0.4816288694632096,0.058680714206092444,-0.05901251916016348
8,2020-01-30,1.9454056094038368,0.23652940857924465,-0.2379762652600892
9,2020-01-31,5.972954720114055,0.7225746706139811,-0.7277962815035979
10,2020-02-01,14.244721861833472,1.7115864599155728,-1.7265144149564104
11,2020-02-02,28.258020493553023,3.369412726236252,-3.4044788246832134
12,2020-02-03,49.15548891291896,5.813660371002477,-5.8845315757328365
13,2020-02-04,77.6843246264074,9.11094766448575,-9.23873587630348
14,2020-02-05,114.22264303617354,13.282275305317228,-13.493297959995957
15,2020-02-06,158.83490097682932,18.311566728932235,-18.63677248321801
16,2020-02-07,211.33541370096205,24.154727796503124,-24.628903314283917
17,2020-02-08,271.3493192433756,30.74794469581508,-31.408803578676668
18,2020-02-09,338.3662531133407,38.014707485628435,-38.90194166827621
19,2020-02-10,411.78521934175484,45.871454289001576,-47.02580736491291
20,2020-02-11,490.9507828430104,54.23192866522345,-55.69433217566859
21,2020-02-12,575.1814591134113,63.01042453934758,-64.82122313440493
22,2020-02-13,663.7914417498421,72.12411319657667,-74.32239280133024
23,2020-02-14,756.1068247746057,81.49463694803796,-84.11766128723502
24,2020-02-15,851.4773770785162,91.04913134146364,-94.13188590245204
25,2020-02-16,949.2847829258975,100.72081145690152,-104.29564970138381
26,2020-02-17,1048.9481122082288,110.44923237299076,-114.5456162901803
27,2020-02-18,1149.9271454214033,120.18031141198526,-124.82463695083743
28,2020-02-19,1251.7240565756542,129.8661806310265,-135.0816778534654
29,2020-02-20,1353.8838549334898,139.46492240806106,-145.27162010374946
30,2020-02-21,1455.9939044961568,148.94022856829838,-155.35497340552706
31,2020-02-22,1557.6827689478382,158.26101325595232,-165.29753411727802
32,2020-02-23,1658.618579363458,167.40100240520133,-175.07001131444667
33,2020-02-24,1758.5070761369982,176.33831622858452,-184.64763813237823
34,2020-02-25,1857.0894415989121,185.0550566842171,-194.00978117503587
35,2020-02-26,1954.140017128193,193.5369083200353,-203.139557329004
36,2020-02-27,2049.46396860532,201.7727578911431,-212.0234641055522
37,2020-02-28,2142.894956357236,209.7543366440991,-220.65102822314384
38,2020-02-29,2234.2928464660617,217.47588709309866,-229.0144749577919
39,2020-03-01,2323.541491917568,224.93385526386965,-237.10841987000595
40,2020-03-02,2410.54660344212,232.12660846907238,-244.92958354382745
41,2020-03-03,2495.2337236350886,239.05417810027257,-252.476529329982
42,2020-03-04,2577.5463127816065,245.71802650807558,-259.74942360405794
43,2020-03-05,2657.443951090726,252.12083677026067,-266.7498177233333
44,2020-03-06,2734.900658807628,258.2663239456924,-273.48045060809454
45,2020-03-07,2809.9033340152823,264.15906641638367,-279.9450708261934
46,2020-03-08,2882.450305401459,269.80435573473915,-286.14827683523345
47,2020-03-09,2952.5499967727005,275.20806353457647,-292.0953741335243
48,2020-03-10,3020.21969901051,280.37652405274684,-297.792248028064
49,2020-03-11,3085.4844437765464,285.31643076606633,-303.24525065229045
50,2020-03-12,3148.375973742672,290.03474585471986,-308.4611010442436
51,2020-03-13,3208.9318059594925,294.53862150848636,-313.4467973920714
52,2020-03-14,3267.1943790698915,298.83533143241993,-318.209539854583
53,2020-03-15,3323.2102806964167,302.9322117618358,-322.756663210022
54,2020-03-16,3377.029549838131,306.8366104104666,-327.0955783940476
55,2020-03-17,3428.70504795466,310.555843831095,-331.2337219191695
56,2020-03-18,3478.291893848776,314.09716040252033,-335.1785123977329
57,2020-03-19,3525.84695729679,317.46770966975873,-338.93731339667056
58,2020-03-20,3571.428407175701,320.6745168019788,-342.5174019858191
59,2020-03-21,3615.0953093446124,323.72446161532207,-345.9259423145918
60,2020-03-22,3656.907269571195,326.6242615599522,-349.1699635961527
61,2020-03-23,3696.924118461478,329.38045825213976,-352.2563420704928
62,2020-03-24,3735.205634409019,331.9994070699022,-355.1917864426923
63,2020-03-25,3771.8113007704683,334.48726938325535,-357.98282634175666
64,2020-03-26,3806.800094482788,336.8500070949003,-360.6358034575487
65,2020-03-27,3840.230303294765,339.09337917886296,-363.1568650223685
66,2020-03-28,3872.15936863087,341.2229399144421,-365.5519593087197
67,2020-03-29,3902.64375150173,343.2440385634104,-367.8268328673653
68,2020-03-30,3931.738819495335,345.16182029112997,-369.98702928864213
69,2020-03-31,3959.498752574847,346.9812281256186,-372.0378892578592
70,2020-04-01,3985.976465700939,348.7070057812234,-373.9845517103008
71,2020-04-02,4011.2235464595306,350.34370119571577,-375.83195591433105
72,2020-04-03,4035.2902062587436,351.89567065852134,-377.58484434431466
73,2020-04-04,4058.2252434948487,353.36708340857876,-379.2477662026481
74,2020-04-05,4080.0760173243643,354.76192660212655,-380.82508147434964
75,2020-04-06,4100.88843081598,356.0840105641,-382.3209654124048
76,2020-04-07,4120.706922442872,357.33697425089576,-383.73941336829967
77,2020-04-08,4139.574464862361,358.5242908575219,-385.08424588673734
78,2020-04-09,4157.532570002725,359.6492735131633,-386.3591139950331
79,2020-04-10,4174.621299728185,360.7150810199382,-387.56750463205253
80,2020-04-11,4190.879281277362,361.7247235931345,-388.7127461635014
81,2020-04-12,4206.343726827504,362.6810685696082,-389.7980139409815
82,2020-04-13,4221.050456564346,363.5868460552547,-390.82633586658176
83,2020-04-14,4235.033924684386,364.4446544893335,-391.80059793208557
84,2020-04-15,4248.327247913857,365.25696610445175,-392.7235497056363
85,2020-04-16,4260.962236039536,366.0261322675633,-393.5978097431903
86,2020-04-17,4272.969424097158,366.7543886888607,-394.42587090622555
87,2020-04-18,4284.378105855607,367.44386048865545,-395.21010557008776
88,2020-04-19,4295.216368283427,368.09656711659227,-395.95277071213195
89,2020-04-20,4305.51112674846,368.71442711437794,-396.65601286706533
90,2020-04-21,4315.288160680854,369.2992627214089,-397.32187294420555
91,2020-04-22,4324.57214950327,369.85280431977844,-397.95229089992563
92,2020-04-23,4333.386708634433,370.3766947175818,-398.5491102609635
93,2020-04-24,4341.7544254054455,370.87249327288373,-399.1140824979925
94,2020-04-25,4349.696894747574,371.34167985619297,-399.6488712450946
95,2020-04-26,4357.234754525994,371.785658656182,-400.1550563673809
96,2020-04-27,4364.387720416833,372.20576182968125,-400.63413787602985
97,2020-04-28,4371.17462023495,372.6032529993754,-401.08753969241707
98,2020-04-29,4377.613427641176,372.9793306035799,-401.51661326424164
99,2020-04-30,4383.721295157031,373.33513109971955,-401.9226410340261
100,2020-05-01,4389.514586441571,373.67173202786216,-402.30683976518367
101,2020-05-02,4395.008907786978,373.99015493763727,-402.6703637281321
102,2020-05-03,4400.219138795852,374.29136818261213,-403.01430774964774
103,2020-05-04,4405.159462216021,374.5762895869184,-403.33971012965685
104,2020-05-05,4409.843392917709,374.84578898914697,-403.6475554298854
105,2020-05-06,4414.283805988461,375.1006906663388,-403.93877713675147
106,2020-05-07,4418.492963953228,375.3417756448425,-404.21426020492027
107,2020-05-08,4422.482543107162,375.5697839009208,-404.474843484134
108,2020-05-09,4426.2636589638105,375.78541645588757,-404.7213220338467
109,2020-05-10,4429.8468908327995,375.9893373710893,-404.9544493309263
110,2020-05-11,4433.242305515248,376.1821756446334,-405.1749393720729
111,2020-05-12,4436.459480149318,376.3645270166262,-405.38346867782866
112,2020-05-13,4439.507524205634,376.5369556852893,-405.5806782004438
113,2020-05-14,4442.395100652549,376.6999959384675,-405.7671751401899
114,2020-05-15,4445.130446304439,376.8541537039937,-405.9435346736018
115,2020-05-16,4447.721391383553,376.99990802376215,-406.1103015987028
116,2020-05-17,4450.175378285951,377.1377124522687,-406.2679918978333
117,2020-05-18,4452.499479605293,377.2679963864075,-406.4170942252763
118,2020-05-19,4454.700415412675,377.39116632751757,-406.5580713206564
119,2020-05-20,4456.784569821982,377.50760707973495,-406.6913613523402
120,2020-05-21,4458.758006858477,377.61768288731037,-406.81737919367606
121,2020-05-22,4460.626485663523,377.7217385147842,-406.93651763621847
122,2020-05-23,4462.3954750315825,377.82010027058914,-407.0491485404518
123,2020-05-24,4464.070167331883,377.91307697946377,-407.15562392984657
124,2020-05-25,4465.655491815634,378.0009609043682,-407.2562770289542
125,2020-05-26,4467.156127338228,378.0840286210869,-407.3514232489765
126,2020-05-27,4468.576514513549,378.1625418475278,-407.44136112295155
127,2020-05-28,4469.920867333498,378.23674823089914,-407.5263731940504
128,2020-05-29,4471.193184246226,378.30688209277923,-407.6067268569318
129,2020-05-30,4472.397258745078,378.37316513665337,-407.6826751571866
130,2020-05-31,4473.536689466526,378.4358071181359,-407.75445754909197
131,2020-06-01,4474.6148898244855,378.49500648038884,-407.822300614439
132,2020-06-02,4475.635097195694,378.55095095622255,-407.88641874400355
133,2020-06-03,4476.600381685871,378.60381813936056,-407.9470147844868
134,2020-06-04,4477.513654469748,378.6537760246829,-408.00428065061624
135,2020-06-05,4478.377675750664,378.7009835210847,-408.05839790649134
136,2020-06-06,4479.195062337881,378.7455909370028,-408.1095383162092
137,2020-06-07,4479.968294864097,378.7877404404917,-408.1578643658372
138,2020-06-08,4480.699724657164,378.82756649502517,-408.20352975805736
139,2020-06-09,4481.39158028301,378.8651962724107,-408.2466798810324
140,2020-06-10,4482.045973773162,378.9007500439384,-408.2874522526954
141,2020-06-11,4482.664906546459,378.9343415505591,-408.3259769414044
142,2020-06-12,4483.250275047901,378.9660783538502,-408.3623769648748
143,2020-06-13,4483.803876109172,378.9960621681621,-408.39676866787886
144,2020-06-14,4484.327412047626,379.02438917525524,-408.4292620801066
145,2020-06-15,4484.822495512693,379.0511503220887,-408.4599612550087
146,2020-06-16,4485.290654098337,379.07643160315365,-408.4889645911071
147,2020-06-17,4485.733334718195,379.1003143271646,-408.5163651356388
148,2020-06-18,4486.151907771607,379.1228753701271,-408.54225087271425
149,2020-06-19,4486.547671098668,379.1441874146649,-408.5667049959329
150,2020-06-20,4486.921853737915,379.1643191766061,-408.58980616654026
151,2020-06-21,4487.2756194956155,379.1833356194602,-408.61162875785203
152,2020-06-22,4487.610070322028,379.20129815656855,-408.6322430856799
153,2020-06-23,4487.926249584293,379.21826484668327,-408.651715631303
154,2020-06-24,4488.225145047957,379.2342905710484,-408.6701092434205
155,2020-06-25,4488.507691822113,379.24942720829404,-408.6874833376387
156,2020-06-26,4488.774775117942,379.2637237975887,-408.70389408258006
157,2020-06-27,4489.027232844134,379.27722669158993,-408.71939457443113
158,2020-06-28,4489.265858090249,379.28997970247656,-408.7340350035888
159,2020-06-29,4489.491401492801,379.3020242407174,-408.7478628130689
160,2020-06-30,4489.704573470305,379.31339944576484,-408.76092284769766
161,2020-07-01,4489.906046323194,379.3241423084455,-408.77325749388274
162,2020-07-02,4490.09645625737,379.33428778871985,-408.78490681409494
163,2020-07-03,4490.276405297701,379.3438689267323,-408.795908673696
164,2020-07-04,4490.446463086083,379.352916946842,-408.8062988597949
165,2020-07-05,4490.60716858987,379.3614613562513,-408.81611119394165
166,2020-07-06,4490.759031764599,379.36953004090446,-408.825377641695
167,2020-07-07,4490.9025350151405,379.3771493492004,-408.83412840831807
168,2020-07-08,4491.038134741724,379.38434418097313,-408.8423920404666
169,2020-07-09,4491.166262685419,379.39113806433943,-408.85019551403866
170,2020-07-10,4491.287327256817,379.3975532316008,-408.85756432096696
171,2020-07-11,4491.401714765052,379.4036106892245,-408.8645225492405
172,2020-07-12,4491.509790603141,379.40933028528343,-408.8710929600211
173,2020-07-13,4491.611900367831,379.41473077305636,-408.87729706037817
174,2020-07-14,4491.708370915093,379.41982987079246,-408.8831551716662
175,2020-07-15,4491.799511365269,379.42464431852386,-408.88868649451024
176,2020-07-16,4491.885614052915,379.4291899316895,-408.8939091701691
177,2020-07-17,4491.966955428015,379.4334816519395,-408.89884033864155
178,2020-07-18,4492.043796907879,379.43753359500715,-408.9034961934726
179,2020-07-19,4492.116385685894,379.4413590961258,-408.9078920337265
180,2020-07-20,4492.184955494239,379.44497075278196,-408.9120423129134
181,2020-07-21,4492.249727335859,379.4483804656684,-408.9159606858784
182,2020-07-22,4492.310910154868,379.4515994761432,-408.9196600516748
