,dates,prediction,+,-
0,2020-02-29,0.0,0.0,0.0
1,2020-03-01,6.687724813075888e-06,8.2894274306593e-07,-8.304955457505662e-07
2,2020-03-02,9.365773234618883e-05,1.1512284483152023e-05,-1.1555141603193276e-05
3,2020-03-03,0.00043887822703139593,5.352342462486498e-05,-5.381566133027312e-05
4,2020-03-04,0.0013571406546219894,0.00016434848700521776,-0.000165500446729376
5,2020-03-05,0.0034227515830992754,0.0004120203893656785,-0.00041544800066813364
6,2020-03-06,0.007725405549738008,0.0009254914936006903,-0.0009341618375288538
7,2020-03-07,0.016367762640057182,0.0019536202494485726,-0.0019734806346521673
8,2020-03-08,0.0334292844204034,0.003979351754739353,-0.004022100634667052
9,2020-03-09,0.06683611179510275,0.0079411748683922,-0.008029648483028333
10,2020-03-10,0.13199145386824246,0.01566304466291757,-0.01584169035781216
11,2020-03-11,0.258824512032767,0.030689105834695918,-0.031044338627222
12,2020-03-12,0.5054732249553291,0.05990393643165193,-0.06060368955962736
13,2020-03-13,0.9848310442474006,0.11667598521614786,-0.11804652091825574
14,2020-03-14,1.9160155873652547,0.22695178063253674,-0.22962679398564023
15,2020-03-15,3.7240527715426976,0.4410584441238461,-0.4462683296760295
16,2020-03-16,7.232637441870477,0.8565243113787133,-0.8666568916795674
17,2020-03-17,14.03587188768675,1.6620818685595609,-1.6817680015302
18,2020-03-18,27.21133035854579,3.2220493989534305,-3.260260444855401
19,2020-03-19,52.66775860375163,6.235691508265141,-6.309774618164006
20,2020-03-20,101.36168186880789,11.997416617940203,-12.14071889334221
21,2020-03-21,189.57702172443254,22.408545072417184,-22.682903189665012
22,2020-03-22,333.9381902825104,39.34620910034681,-39.85578414165741
23,2020-03-23,547.128724133271,64.146598119381,-65.04732854345241
24,2020-03-24,836.5283017447806,97.46405453875525,-98.96647708559158
25,2020-03-25,1204.477609967203,139.33219016676662,-141.69816278624126
26,2020-03-26,1649.2122525494854,189.30199679392604,-192.83695307108746
27,2020-03-27,2165.9548087302032,246.59203580634448,-251.63456668175286
28,2020-03-28,2747.924853648426,310.22151902855603,-317.1318320487194
29,2020-03-29,3387.1748111150628,379.1162666070559,-388.2646945444217
30,2020-03-30,4075.2345291746988,452.18696531972273,-463.94331992583284
31,2020-03-31,4803.58163279719,528.3832190593048,-543.1074678239365
32,2020-04-01,5563.967141552271,606.7281523086613,-624.7626516090841
33,2020-04-02,6348.627515405161,686.3382557241584,-708.0015986808094
