,dates,prediction,+,-
0,2020-02-23,0.0,0.0,0.0
1,2020-02-24,4.2723980361697296e-07,5.296504437567531e-08,-5.3062280964796824e-08
2,2020-02-25,7.337690347869757e-06,9.030502479687511e-07,-9.061645930024434e-07
3,2020-02-26,4.801445602270851e-05,5.877380491580346e-06,-5.9046317301590794e-06
4,2020-02-27,0.00023410008008108434,2.8561277066706248e-05,-2.8714398599949647e-05
5,2020-02-28,0.001030458530685411,0.00012550785815836096,-0.00012622698926139872
6,2020-02-29,0.00437804123777952,0.0005328372620639638,-0.000535976563481119
7,2020-03-01,0.018367831515332427,0.0022348001805917034,-0.0022481146882990903
8,2020-03-02,0.0766125362867355,0.009320073262728157,-0.009375882668213445
9,2020-03-03,0.3178892430394314,0.03866781394485019,-0.03890024332095582
10,2020-03-04,1.3071180942660245,0.15897091673718933,-0.15993218372185125
11,2020-03-05,5.193333318407692,0.6312064428607451,-0.6351124961709225
12,2020-03-06,17.716918124808004,2.147286474073052,-2.1619125697231
13,2020-03-07,47.77325703939432,5.759727853030526,-5.805644073462219
14,2020-03-08,105.03981797882395,12.579580558580176,-12.698374133626146
15,2020-03-09,198.27961916069466,23.569915075745257,-23.830982106348102
16,2020-03-10,334.5061735011374,39.45236062737325,-39.95715615123754
17,2020-03-11,518.7101040898988,60.68510125153534,-61.568663375004064
18,2020-03-12,753.9067567175524,87.47998277499073,-88.91003868947314
19,2020-03-13,1041.3468192388411,119.83795784335143,-122.01212683865901
20,2020-03-14,1380.7938761720648,157.59056895897083,-160.73222005520847
21,2020-03-15,1770.8139341796186,200.44070315236308,-204.79398168175817
22,2020-03-16,2209.047764480868,247.99926508830458,-253.82372145250656
23,2020-03-17,2692.4524712108764,299.8164261391721,-307.3815884438159
24,2020-03-18,3217.50768505773,355.40722962334166,-364.98737445032066
25,2020-03-19,3780.386716884291,414.2719154057736,-426.14121434604203
26,2020-03-20,4377.095480376827,475.911588910898,-490.33974499865235
27,2020-03-21,5003.583039349227,539.8399405637892,-557.0883783327736
28,2020-03-22,5655.82787894687,605.5917053426883,-625.910339631625
29,2020-03-23,6329.9038209690125,672.728488613815,-696.3530687642678
30,2020-03-24,7022.029124092779,740.8425022270148,-767.9925081598185
31,2020-03-25,7728.601860474319,809.5586702500432,-840.4357233900091
32,2020-03-26,8446.224208882333,878.5354845523798,-913.322228222838
33,2020-03-27,9171.717874477186,947.4649186907354,-986.3243182035976
34,2020-03-28,9902.132498425768,1016.0716510766997,-1059.1466623752258
35,2020-03-29,10634.748537174451,1084.111791264757,-1131.5253473672456
36,2020-03-30,11367.075891550521,1151.371269188472,-1203.2265359447883
37,2020-03-31,12096.84929051878,1217.6640074890656,-1274.0448632708685
38,2020-04-01,12822.021240448012,1282.829969911274,-1343.8016673488437
39,2020-04-02,13540.753222186697,1346.733158080102,-1412.3431302376357
40,2020-04-03,14251.4056388433,1409.2596090738934,-1479.5383859140966
41,2020-04-04,14952.52697664602,1470.3154347235522,-1545.2776404003034
42,2020-04-05,15642.842490248979,1529.8249301183132,-1609.470334909658
43,2020-04-06,16321.242692214017,1587.7287701298173,-1672.0433749284675
44,2020-04-07,16986.771847992535,1643.9823078328627,-1732.939442057257
45,2020-04-08,17638.616639427015,1698.5539815235716,-1792.1153985895362
46,2020-04-09,18276.095116659217,1751.4238336785274,-1849.540790907642
47,2020-04-10,18898.646032342527,1802.5821434970094,-1905.196455679692
48,2020-04-11,19505.818610630988,1852.028168000943,-1959.0732262782767
49,2020-04-12,20097.262814549442,1899.7689932067879,-2011.1707424528431
50,2020-04-13,20672.720125511154,1945.8184867247655,-2061.4963566474144
51,2020-04-14,21232.014849807674,1990.1963474168406,-2110.0641338415917
52,2020-04-15,21775.045961690572,2032.9272469419702,-2156.8939409874365
53,2020-04-16,22301.77947825186,2074.0400569902085,-2202.0106208699726
54,2020-04-17,22812.24135792794,2113.567156197827,-2245.44324526954
55,2020-04-18,23306.510902725837,2151.5438099358616,-2287.2244413212393
56,2020-04-19,23784.714649720834,2188.0076176734947,-2327.3897863378843
57,2020-04-20,24247.020734695092,2222.99802263888,-2365.9772663010626
58,2020-04-21,24693.63370113001,2256.5558776971557,-2403.026792300334
59,2020-04-22,25124.78973262853,2288.72306260786,-2438.5797703450407
60,2020-04-23,25540.752284932758,2319.5421478094504,-2472.678719906642
61,2020-04-24,25941.80809653278,2349.0561006210664,-2505.366937231196
62,2020-04-25,26328.26355394585,2377.3080296312037,-2536.688199283253
63,2020-04-26,26700.441382250654,2404.3409627998335,-2566.686503840996
64,2020-04-27,27058.677647534954,2430.1976567501297,-2595.4058432845086
65,2020-04-28,27403.31904591356,2454.9204335840877,-2622.890008367409
66,2020-04-29,27734.720455667586,2478.5510420534483,-2649.1824187256316
67,2020-04-30,28053.24273702247,2501.1305408118533,-2674.3259778188512
68,2020-05-01,28359.250759752653,2522.6992011999755,-2698.3629496659596
69,2020-05-02,28653.111638328246,2543.296427143654,-2721.3348548352224
70,2020-05-03,28935.193161231757,2562.9606904540306,-2743.2823839100565
71,2020-05-04,29205.86239775206,2581.7294796321767,-2764.2453264177966
72,2020-05-05,29465.484465538575,2599.6392604086795,-2784.262513319776
73,2020-05-06,29714.421447964054,2616.725446768982,-2803.3717717341788
74,2020-05-07,29953.031447497997,2633.022381072744,-2821.6098903796956
75,2020-05-08,30181.667761449244,2648.563321984271,-2839.012594327709
76,2020-05-09,30400.678171610612,2663.380439338609,-2855.6145281129175
77,2020-05-10,30610.404336406104,2677.5048149221147,-2871.449246065811
78,2020-05-11,30811.18127484129,2690.9664482705302,-2886.54920885542
79,2020-05-12,31003.336935384952,2703.7942668510113,-2900.9457855387955
80,2020-05-13,31187.1918408082,2716.0161399131757,-2914.6692603015
81,2020-05-14,31363.05880090021,2727.6588953989994,-2927.7488431851925
82,2020-05-15,31531.24268707757,2738.7483394368573,-2940.2126842590988
83,2020-05-16,31692.040262464485,2749.3092779534345,-2952.087890692219
84,2020-05-17,31845.74006090859,2759.3655399725394,-2963.4005462139685
85,2020-05-18,31992.622310197858,2768.940002272746,-2974.1757325769504
86,2020-05-19,32132.958894754684,2778.0546150936243,-2984.437552652198
87,2020-05-20,32267.01335293329,2786.730428605275,-2994.2091548080825
88,2020-05-21,32395.040904817113,2794.9876199086357,-3003.5127582864916
89,2020-05-22,32517.28850718626,2802.845520368839,-3012.3696793350173
90,2020-05-23,32633.99493217423,2810.3226430988652,-3020.8003578658245
91,2020-05-24,32745.390866309986,2817.4367104378325,-3028.824384440115
92,2020-05-25,32851.69902731387,2824.204681297866,-3036.460527416337
93,2020-05-26,32953.13429622445,2830.6427782654937,-3043.7267601146923
94,2020-05-27,33049.90386242434,2836.7665143632767,-3050.640287869581
95,2020-05-28,33142.207379610736,2842.590719391046,-3057.217574861941
96,2020-05-29,33230.23713069343,2848.129565785188,-3063.4743706407426
97,2020-05-30,33314.17820014388,2853.396593936697,-3069.4257362539356
98,2020-05-31,33394.20865217879,2858.4047369258624,-3075.0860699230143
99,2020-06-01,33470.499713440055,2863.1663446404127,-3080.4691322084072
100,2020-06-02,33543.2159589984,2867.6932072478885,-3085.5880706197277
101,2020-06-03,33612.515500567606,2871.9965780058483,-3090.455443637333
102,2020-06-04,33678.550176019744,2876.0871953916576,-3095.0832441141247
103,2020-06-05,33741.465739323394,2879.9753045450707,-3099.4829220372485
104,2020-06-06,33801.40205016782,2883.6706780226887,-3103.6654066373667
105,2020-06-07,33858.493262615186,2887.182635855279,-3107.6411278270207
106,2020-06-08,33912.868012204955,2890.520064924167,-3111.420036974476
107,2020-06-09,33964.64960101128,2893.6914376505447,-3115.011626999767
108,2020-06-10,34013.95618021271,2896.7048300113383,-3118.4249517993594
109,2020-06-11,34060.90092981555,2899.567938893997,-3121.6686450056877
110,2020-06-12,34105.59223518888,2902.288098795885,-3124.75093808187
111,2020-06-13,34148.13386015669,2904.872297887043,-3127.679677766013
112,2020-06-14,34188.62511642293,2907.3271934491568,-3130.4623428736923
113,2020-06-15,34227.16102915211,2909.6591267072436,-3133.1060604721715
114,2020-06-16,34263.832498535456,2911.874137067003,-3135.617621435871
115,2020-06-17,34298.72645726443,2913.9779757795404,-3138.0034954031034
116,2020-06-18,34331.92602375979,2915.976119041523,-3140.2698451393953
117,2020-06-19,34363.5106511713,2917.8737805588753,-3142.422540334461
118,2020-06-20,34393.55627206109,2919.6759235836944,-3144.467170841126
119,2020-06-21,34422.13543875958,2921.3872724434696,-3146.40905937396
120,2020-06-22,34449.31745943957,2923.012323584626,-3148.253273689621
121,2020-06-23,34475.16852982505,2924.5553561359993,-3150.0046382531364
122,2020-06-24,34499.75186067289,2926.020442022076,-3151.667745420378
123,2020-06-25,34523.12780100484,2927.4114556345594,-3153.2469661449068
124,2020-06-26,34545.353957165964,2928.7320830815806,-3154.746460228649
125,2020-06-27,34566.48530775111,2929.9858310286,-3156.170186130319
126,2020-06-28,34586.574314530364,2931.1760351523626,-3157.521910354153
127,2020-06-29,34605.67102932113,2932.3058682110204,-3158.805216420864
128,2020-06-30,34623.82319703802,2933.37834775979,-3160.023513452441
129,2020-07-01,34641.0763549076,2934.396343516826,-3161.1800443749344
130,2020-07-02,34657.473927973,2935.362584397044,-3162.2778937578005
131,2020-07-03,34673.05732097403,2936.2796652265606,-3163.3199953035473
132,2020-07-04,34687.86600672432,2937.1500531536512,-3164.3091390037516
133,2020-07-05,34701.937611001194,2937.976093761492,-3165.247977967654
134,2020-07-06,34715.30799415436,2938.760016904991,-3166.139034946682
135,2020-07-07,34728.011329454006,2939.503942276511,-3166.984708560056
136,2020-07-08,34740.08017830574,2940.209884714677,-3167.787279236836
137,2020-07-09,34751.5455624246,2940.879759266747,-3168.5489148855595
138,2020-07-10,34762.43703309107,2941.515386017498,-3169.2716763052777
139,2020-07-11,34772.78273750732,2942.1184946882495,-3169.957522342156
140,2020-07-12,34782.60948245581,2942.6907290248273,-3170.608314811823
141,2020-07-13,34791.94279527711,2943.2336509775996,-3171.225823190827
142,2020-07-14,34800.806982291135,2943.748744685159,-3171.8117290900227
143,2020-07-15,34809.22518473651,2944.237420269412,-3172.3676305179542
144,2020-07-16,34817.21943237121,2944.701017454281,-3172.8950459480475
145,2020-07-17,34824.810694699765,2945.1408090070254,-3173.3954181881163
146,2020-07-18,34832.018930058875,2945.5580040211426,-3173.8701180730495
147,2020-07-19,34838.86313254602,2945.953751040499,-3174.320447980521
148,2020-07-20,34845.361376907094,2946.3291410347156,-3174.747645180454
149,2020-07-21,34851.530861451676,2946.6852102318517,-3175.152885024967
150,2020-07-22,34857.38794911336,2947.022942817639,-3175.5372839892116
151,2020-07-23,34862.94820663382,2947.343273500839,-3175.9019025623165
152,2020-07-24,34868.226442053165,2947.64708995854,-3176.2477480039634
153,2020-07-25,34873.23674050967,2947.935235162411,-3176.5757769674638
154,2020-07-26,34877.99249843541,2948.2085095925286,-3176.8868979969957
155,2020-07-27,34882.50645621237,2948.4676733441884,-3177.181973904655
156,2020-07-28,34886.79072934955,2948.713448132323,-3177.4618240326818
157,2020-07-29,34890.856838269334,2948.94651920021,-3177.7272264083367
158,2020-07-30,34894.715736690625,2949.1675371322126,-3177.9789197907885
159,2020-07-31,34898.37783876121,2949.377119581295,-3178.217605622478
160,2020-08-01,34901.85304491542,2949.5758529103405,-3178.4439498832944
161,2020-08-02,34905.1507665548,2949.764293753935,-3178.658584855675
162,2020-08-03,34908.27994958769,2949.942970503842,-3178.862110803464
163,2020-08-04,34911.24909688683,2950.1123847220297,-3179.055097569544
164,2020-08-05,34914.06628969268,2950.273012483689,-3179.238086094505
165,2020-08-06,34916.73920801851,2950.425305654164,-3179.411589860949
166,2020-08-07,34919.27515011367,2950.569693103833,-3179.576096267785
