,dates,prediction,+,-
0,2020-03-06,0.0,0.0,0.0
1,2020-03-07,3.82710537148797e-06,4.744320468811138e-07,-4.7530644739143946e-07
2,2020-03-08,6.155297516985183e-05,7.572229649463103e-06,-7.599032167590619e-06
3,2020-03-09,0.00035288234358332054,4.3136656159450005e-05,-4.334976495579362e-05
4,2020-03-10,0.0014186676025647528,0.00017260733386235245,-0.00017363787963295125
5,2020-03-11,0.004915215424774418,0.0005961864547029856,-0.0006001471134887285
6,2020-03-12,0.015957376935482284,0.001932029115044153,-0.0019456233028329068
7,2020-03-13,0.050354935382329345,0.0060907656050256664,-0.006134895548454401
8,2020-03-14,0.15688364337684485,0.01896670714762766,-0.019106139827043733
9,2020-03-15,0.48534909829993855,0.05866113686248631,-0.0590957824125779
10,2020-03-16,1.4895199793176268,0.17998455846479833,-0.18132777789024224
11,2020-03-17,4.378205923310961,0.5284548255281285,-0.5325271076698979
12,2020-03-18,11.256144989837608,1.3539634564110354,-1.3654267081398945
13,2020-03-19,24.554647773143913,2.937432138049818,-2.965852429762389
14,2020-03-20,46.51251515790844,5.526918105807404,-5.5885563958145354
15,2020-03-21,78.90648998190076,9.306686959146688,-9.425642804224125
16,2020-03-22,122.95364450520937,14.388299946473623,-14.596916888440887
17,2020-03-23,179.31572213107847,20.814247591637184,-21.152847010217073
18,2020-03-24,248.15772524212912,28.567818494398693,-29.083900687861217
19,2020-03-25,329.23049443102724,37.5853033702046,-38.332374680094006
20,2020-03-26,421.9591239815211,47.76827702703929,-48.80445333614182
21,2020-03-27,525.5270424411988,58.99476498511001,-60.38127975679174
22,2020-03-28,638.9506511323353,71.12876124108902,-72.92847933147914
23,2020-03-29,761.1425189117078,84.02795565390738,-86.30396749678073
24,2020-03-30,890.9629403011776,97.54974745101981,-100.3640943690018
25,2020-03-31,1027.2606520401202,111.55573075136886,-114.96829224194516
26,2020-04-01,1168.903968295889,125.91488054576507,-129.98243856166255
27,2020-04-02,1314.803755630941,140.50567246077276,-145.28115569507122
28,2020-04-03,1463.9296493835361,155.21735349693768,-160.74925600890947
29,2020-04-04,1615.3208004943554,169.95055518437857,-176.28251779084394
