,dates,prediction,+,-
0,2020-03-02,0.0,0.0,0.0
1,2020-03-03,7.025515526096187e-06,8.709119275149589e-07,-8.725204193630063e-07
2,2020-03-04,0.0001142067976047884,1.4051062151594165e-05,-1.4100491369319396e-05
3,2020-03-05,0.0006873077150966107,8.40618822495517e-05,-8.446724205130312e-05
4,2020-03-06,0.0030060504156056997,0.00036620442642176136,-0.00036828849226486996
5,2020-03-07,0.01165885787592835,0.00141708805571069,-0.0014258538316757052
6,2020-03-08,0.04319227624794452,0.005243882115234154,-0.005277608674669913
7,2020-03-09,0.15723703968534525,0.019079902083821043,-0.019204741438059836
8,2020-03-10,0.5680784005833164,0.06891688280751174,-0.06937132623020947
9,2020-03-11,2.0411073502600203,0.24758153063262833,-0.24922207221226178
10,2020-03-12,7.249600957414025,0.8791317690479135,-0.8850071812454496
11,2020-03-13,23.760853715361613,2.876485105592284,-2.896794506257283
12,2020-03-14,64.06096817437232,7.720717054447007,-7.782831662383067
13,2020-03-15,141.3561516424559,16.927950807586853,-17.08795431551279
14,2020-03-16,266.64007400714615,31.69412594653039,-32.04556658274072
15,2020-03-17,447.589890881464,52.77642886662477,-53.45462908013093
16,2020-03-18,688.4914024825158,80.50356913479129,-81.68559751223415
17,2020-03-19,990.648171509114,114.84316928882981,-116.74434627896892
18,2020-03-20,1352.964788591121,155.48643227503453,-158.35444646977408
19,2020-03-21,1772.5433901532351,201.93011259530158,-206.0377542677893
20,2020-03-22,2245.2189675138443,253.54715623088214,-259.1844934685505
21,2020-03-23,2766.0063437874364,309.6434444243446,-317.1100607195267
22,2020-03-24,3329.455968276672,369.50107599083685,-379.0987975077496
23,2020-03-25,3929.9269072623656,432.40991296041375,-444.4362949655465
24,2020-03-26,4561.789575668853,497.6894997853742,-512.4322181160824
25,2020-03-27,5219.571320390142,564.7034078697161,-582.4356100121668
26,2020-03-28,5898.056857358215,632.8678068584286,-653.8444130899215
27,2020-03-29,6592.3538282155105,701.6557562192138,-726.1106587529121
28,2020-03-30,7297.931904922811,770.5984099113102,-798.742491951105
29,2020-03-31,8010.64217784713,839.284061567294,-871.3039442970139
30,2020-04-01,8726.722113218926,907.3557368822767,-943.4131571767302
31,2020-04-02,9442.790164946484,974.5078614001814,-1014.7395837648
32,2020-04-03,10155.833164269734,1040.482392142685,-1085.0005629760435
33,2020-04-04,10863.188861893797,1105.0646948007234,-1153.9575540607584
34,2020-04-05,11562.525395721726,1168.0793646753536,-1221.4122383186914
35,2020-04-06,12251.819006681988,1229.3861287739146,-1287.2026340891643
36,2020-04-07,12929.3309779527,1288.8759206739305,-1351.199325438345
37,2020-04-08,13593.584503230024,1346.4671857163576,-1413.301870542091
38,2020-04-09,14243.341987065569,1402.1024495563997,-1473.4354306631049
39,2020-04-10,14877.583127962427,1455.7451655737532,-1531.5476424225799
40,2020-04-11,15495.484018413455,1507.37684414873,-1587.605742822936
41,2020-04-12,16096.39741116927,1556.994458265959,-1641.593947237614
42,2020-04-13,16679.83423293478,1604.6081140315764,-1693.5110739167012
43,2020-04-14,17245.446382829414,1650.2389713317207,-1743.3684045764894
44,2020-04-15,17793.010815549023,1693.9173974651276,-1791.1877676075655
45,2020-04-16,18322.414885658214,1735.681336030313,-1836.9998292625023
46,2020-04-17,18833.642910748393,1775.5748724065452,-1880.842576854182
47,2020-04-18,19326.763899388377,1813.6469781683045,-1922.7599783981714
48,2020-04-19,19801.920383378587,1849.9504172347806,-1962.8008032844227
49,2020-04-20,20259.318288210266,1884.5407973292204,-2001.017588983319
50,2020-04-21,20699.217773303135,1917.4757514202247,-2037.4657395733884
51,2020-04-22,21121.92497584472,1948.814235338763,-2072.2027431354254
52,2020-04-23,21527.784588250695,1978.6159279481471,-2105.2874950804
53,2020-04-24,21917.17320766846,2006.9407227449337,-2136.7797167034514
54,2020-04-25,22290.49339274907,2033.8482995519698,-2166.7394579874926
55,2020-04-26,22648.168369674244,2059.3977668545776,-2195.2266753771582
56,2020-04-27,22990.637330877104,2083.647365912915,-2222.300875750745
57,2020-04-28,23318.351274235472,2106.6542288410164,-2248.020818788438
58,2020-04-29,23631.76933348924,2128.474183619972,-2272.4442706442205
59,2020-04-30,23931.355554325684,2149.1615998061643,-2295.62780257321
60,2020-05-01,24217.57607392795,2168.7692693989957,-2317.6266288296174
61,2020-05-02,24490.896664897136,2187.3483179477735,-2338.494478737761
62,2020-05-03,24751.78060756832,2204.9481415575065,-2358.2834983969806
63,2020-05-04,25000.686857798915,2221.6163659835074,-2377.044177999407
64,2020-05-05,25238.068479967467,2237.398824455042,-2394.825301181998
65,2020-05-06,25464.3713175494,2252.3395512871466,-2411.6739132500297
66,2020-05-07,25680.03287606975,2266.480788711222,-2427.635305482141
67,2020-05-08,25885.481395486477,2279.863004677314,-2442.7530130538653
68,2020-05-09,26081.13509153209,2292.5249197130797,-2457.0688244578996
69,2020-05-10,26267.40154457355,2304.5035409997836,-2470.6228003445976
70,2020-05-11,26444.677223753522,2315.8342024864796,-2483.453300478708
71,2020-05-12,26613.3471268887,2326.550609540398,-2495.5970170722067
72,2020-05-13,26773.78452277774,2336.6848871106777,-2507.0890133039247
73,2020-05-14,26926.350784829843,2346.267630529517,-2517.9627660133556
74,2020-05-15,27071.395301428904,2355.3279580736053,-2528.250211485636
75,2020-05-16,27209.25545708912,2363.8935647426806,-2537.981793715604
76,2020-05-17,27340.256672174997,2371.9907765781463,-2547.1865142946663
