,dates,prediction,+,-
0,2020-03-05,0.0,0.0,0.0
1,2020-03-06,4.4932461922116907e-07,5.569732223262852e-08,-5.5800867472010094e-08
2,2020-03-07,6.811175176761867e-06,8.376397808953622e-07,-8.406651361876161e-07
3,2020-03-08,3.6440261980890876e-05,4.451171907436496e-06,-4.473900840995274e-06
4,2020-03-09,0.0001355491504895717,1.647123102862822e-05,-1.6574189424300458e-05
5,2020-03-10,0.00043141224879656527,5.2234762482252916e-05,-5.2602285512844116e-05
6,2020-03-11,0.001279579464262456,0.0001545832746810711,-0.0001557459039691802
7,2020-03-12,0.003675923171138782,0.00044351579668847323,-0.00044697285283936674
8,2020-03-13,0.01040853915874226,0.0012549858263626035,-0.0012649490167337546
9,2020-03-14,0.029272365903520864,0.0035282181177065733,-0.0035564889100784154
10,2020-03-15,0.08201706744463971,0.009883717574410991,-0.00996330557727687
11,2020-03-16,0.2291577817061325,0.02761203665074413,-0.02783508745435792
12,2020-03-17,0.6383477673209617,0.07690862602911797,-0.07753165651974359
13,2020-03-18,1.7706954784297793,0.2133066169739064,-0.21504072698741883
14,2020-03-19,4.875748463266763,0.5872288889103867,-0.5920308415190938
15,2020-03-20,13.188861948420504,1.587627474413427,-1.6007911878547016
16,2020-03-21,33.660449118056164,4.045112104061047,-4.080155764459992
17,2020-03-22,76.68184791092952,9.181622818681262,-9.268551155450723
18,2020-03-23,153.65998748845897,18.300908664081334,-18.49563369688198
19,2020-03-24,274.9909110495293,32.54117399792369,-32.933388863441024
20,2020-03-25,449.00376822089663,52.75574847492453,-53.4738545153574
21,2020-03-26,681.5999368559887,79.48241792300928,-80.69522105335955
22,2020-03-27,976.2991480166479,112.96253631832997,-114.87805385188824
23,2020-03-28,1334.493176516275,153.18366326832324,-156.0456532486744
24,2020-03-29,1755.784317565066,199.92998885411725,-204.01287420056542
25,2020-03-30,2238.338626707661,252.831909429809,-258.4347190442645
26,2020-03-31,2779.217264401781,311.41052727913893,-318.85037751526716
27,2020-04-01,3374.669237901785,375.1154232331046,-384.7209510891389
28,2020-04-02,4020.3802287145427,443.3554734729387,-455.4605260220683
29,2020-04-03,4711.678280245874,515.5231992544223,-530.4609905551752
30,2020-04-04,5443.700112385236,591.0134527748587,-609.1113226261923
31,2020-04-05,6211.522996560334,669.2373260900858,-690.8121743143283
32,2020-04-06,7010.267331207792,749.6321382435444,-774.9865619913817
33,2020-04-07,7835.174767948154,831.6682694585452,-861.0873971239025
34,2020-04-08,8681.666217883334,914.85350384087,-948.602495367536
35,2020-04-09,9545.383496941246,998.7354363809463,-1037.0576039500356
36,2020-04-10,10422.217771666385,1082.9023984284213,-1126.0178917847043
37,2020-04-11,11308.327490818194,1166.9832742631825,-1215.0882701084647
38,2020-04-12,12200.147966833385,1250.6465008389423,-1303.9128340414318
39,2020-04-13,13094.394449069463,1333.5984895784022,-1392.173664976679
40,2020-04-14,13988.060149290059,1415.581652263063,-1479.5891785456188
41,2020-04-15,14878.410439657844,1496.372175654311,-1565.9121668433927
42,2020-04-16,15762.974151596707,1575.777652983361,-1650.9276467380223
43,2020-04-17,16639.532826140778,1653.6346602727062,-1734.450608023766
44,2020-04-18,17506.10849830018,1729.8063372478573,-1816.323725403181
45,2020-04-19,18360.950542072114,1804.1800203624625,-1896.415086996818
46,2020-04-20,19202.52196937313,1876.6649612434958,-1974.615977087713
47,2020-04-21,20029.485501838375,1947.190152711315,-2050.838739818246
48,2020-04-22,20840.689662221954,2015.7022784253531,-2125.0147436837833
49,2020-04-23,21635.155071000365,2082.1637922073387,-2197.092456908831
50,2020-04-24,22412.06109820838,2146.5511346533676,-2267.035644088486
51,2020-04-25,23170.73297871267,2208.853085028466,-2334.8216855254686
52,2020-04-26,23910.62945945058,2269.0692458822195,-2400.440019136495
53,2020-04-27,24631.331034811214,2327.2086565748796,-2463.890703430574
54,2020-04-28,25332.52880789499,2383.2885314796804,-2525.183099201131
55,2020-04-29,26014.01399416376,2437.3331154471707,-2584.3346643851073
56,2020-04-30,26675.668063765446,2489.372648390985,-2641.369855375997
57,2020-05-01,27317.45352601945,2539.442433222146,-2696.319130189513
58,2020-05-02,27939.405349777906,2587.582000385999,-2749.2180478091686
59,2020-05-03,28541.622989055464,2633.834359619301,-2800.106455209414
60,2020-05-04,29124.262998724087,2678.2453332120385,-2849.027756956144
61,2020-05-05,29687.532218858818,2720.8629640426225,-2896.028261280906
62,2020-05-06,30231.681500618175,2761.7369919418306,-2941.156596594239
63,2020-05-07,30756.99993806273,2800.9183912479675,-2984.4631916067992
64,2020-05-08,31263.809588437227,2838.458965200396,-3025.99981498739
65,2020-05-09,31752.46064624913,2874.410991035067,-3065.8191685645907
66,2020-05-10,32223.327041288398,2908.8269106818225,-3103.974529057923
67,2020-05-11,32676.802440324103,2941.759063280235,-3140.5194346546778
68,2020-05-12,33113.29661725954,2973.2594544076856,-3175.5074112735238
69,2020-05-13,33533.23217010179,3003.3795586224296,-3208.9917351166223
70,2020-05-14,33937.04156158711,3032.1701519295384,-3241.025228076989
71,2020-05-15,34325.164453408266,3059.681170366828,-3271.660082058639
72,2020-05-16,34698.04531763152,3085.961592354848,-3300.947709809974
73,2020-05-17,35056.1313020854,3111.059341963206,-3328.938619294193
74,2020-05-18,35399.8703262684,3135.0212104293023,-3355.682308775471
75,2020-05-19,35729.709394140744,3157.8927941873044,-3381.227180805483
76,2020-05-20,36046.093102512845,3179.7184471591318,-3405.620472693008
77,2020-05-21,36349.46232837438,3200.541245557113,-3428.9082015710082
78,2020-05-22,36640.253082137126,3220.402963785702,-3451.135122544547
79,2020-05-23,36918.89550999772,3239.344059856936,-3472.3446981752204
80,2020-05-24,37185.8130321462,3257.403669068939,-3492.5790779241725
81,2020-05-25,37441.42160635701,3274.6196049321734,-3511.879086439214
82,2020-05-26,37686.1291033041,3291.0283661988433,-3530.2842193946053
83,2020-05-27,37920.33478341099,3306.665149131695,-3547.8326459109885
84,2020-05-28,38144.42886660516,3321.563864271193,-3564.5612167214276
85,2020-05-29,38358.79218443582,3335.757156915548,-3580.505477174578
86,2020-05-30,38563.79590676665,3349.2764307177495,-3595.699684389292
87,2020-05-31,38759.80133570626,3362.151873856448,-3610.176827930103
88,2020-06-01,38947.1597595547,3374.4124872826796,-3623.968653417258
89,2020-06-02,39126.21235962855,3386.086114591373,-3637.105688529926
90,2020-06-03,39297.29016509715,3397.1994731787854,-3649.617271003801
91,2020-06-04,39460.71405009853,3407.7781863387863,-3661.53157820207
92,2020-06-05,39616.79476773414,3417.8468160031553,-3672.8756578932152
93,2020-06-06,39765.833016927216,3427.428895889774,-3683.675459947568
94,2020-06-07,39908.119537972045,3436.546964839661,-3693.9558686771925
95,2020-06-08,40043.93523316435,3445.2226001558156,-3703.740735583815
96,2020-06-09,40173.551308698174,3453.4764507834116,-3713.0529123011
97,2020-06-10,40297.22943524028,3461.3282701994685,-3721.9142835644743
98,2020-06-11,40415.221924241996,3468.796948893505,-3730.34580004889
99,2020-06-12,40527.771917451915,3475.9005463438807,-3738.367510943368
100,2020-06-13,40635.11358741759,3482.656322409988,-3745.9985961513157
101,2020-06-14,40737.47234689782,3489.0807680748912,-3753.257398021138
102,2020-06-15,40835.06506545061,3495.189635482573,-3760.161452526896
103,2020-06-16,40928.100291497394,3500.9979672272602,-3766.7275198313655
104,2020-06-17,41016.77847839438,3506.5201248658996,-3772.9716141812532
105,2020-06-18,41101.29221325005,3511.769816625332,-3778.9090330874387
106,2020-06-19,41181.82644728975,3516.760124289649,-3784.554385757823
107,2020-06-20,41258.55872677324,3521.503529254449,-3789.9216207549034
108,2020-06-21,41331.65942353163,3526.0119377434094,-3795.024052859044
109,2020-06-22,41401.291964337746,3530.296705190689,-3799.8743891288977
110,2020-06-23,41467.61305840347,3534.3686597837077,-3804.4847541428826
111,2020-06-24,41530.77292240135,3538.238125185424,-3808.866714431053
112,2020-06-25,41590.915502476724,3541.914942435091,-3813.0313020878675
113,2020-06-26,41648.178692792724,3545.4084910444217,-3816.9890375758405
114,2020-06-27,41702.69455024077,3548.727709306826,-3820.749951730686
115,2020-06-28,41754.58950495241,3551.8811138272285,-3824.323606970327
