date,ML,Low_90,High_90,Low_50,High_50
2020-02-19,0.0,0.0,10.81,0.0,6.01
2020-02-20,4.83,3.42,6.07,4.19,5.28
2020-02-21,4.26,3.39,5.09,3.86,4.5600000000000005
2020-02-22,3.47,2.74,4.09,3.11,3.67
2020-02-23,2.87,2.2600000000000002,3.44,2.57,3.06
2020-02-24,2.62,2.04,3.13,2.35,2.8000000000000003
2020-02-25,2.59,2.07,3.08,2.33,2.75
2020-02-26,2.7600000000000002,2.2600000000000002,3.19,2.5500000000000003,2.93
2020-02-27,2.7,2.24,3.09,2.48,2.83
2020-02-28,2.32,1.8900000000000001,2.68,2.1,2.43
2020-02-29,1.9100000000000001,1.5,2.2600000000000002,1.73,2.04
2020-03-01,1.41,1.0,1.75,1.21,1.52
2020-03-02,0.97,0.55,1.31,0.79,1.1
2020-03-03,0.77,0.37,1.1400000000000001,0.5700000000000001,0.89
2020-03-04,0.66,0.23,1.02,0.44,0.77
2020-03-05,0.67,0.26,1.06,0.49,0.8200000000000001
2020-03-06,0.6,0.16,0.97,0.38,0.72
2020-03-07,0.31,0.0,0.67,0.11,0.42
2020-03-08,0.13,0.0,0.54,0.0,0.24
2020-03-09,0.0,0.0,0.45,0.0,0.17
2020-03-10,0.0,0.0,0.42,0.0,0.15
2020-03-11,0.0,0.0,0.45,0.0,0.16
2020-03-12,0.0,0.0,0.49,0.0,0.19
2020-03-13,0.08,0.0,0.58,0.0,0.24
2020-03-14,0.16,0.0,0.66,0.0,0.29
2020-03-15,0.19,0.0,0.72,0.0,0.32
2020-03-16,0.45,0.0,0.98,0.19,0.63
2020-03-17,0.68,0.05,1.26,0.4,0.92
2020-03-18,0.98,0.28,1.62,0.67,1.23
2020-03-19,1.18,0.48,1.83,0.84,1.4000000000000001
2020-03-20,1.08,0.37,1.7,0.75,1.3
2020-03-21,0.9500000000000001,0.25,1.56,0.61,1.16
2020-03-22,0.79,0.1,1.37,0.43,0.98
2020-03-23,0.66,0.04,1.25,0.32,0.86
2020-03-24,0.7000000000000001,0.05,1.3,0.36,0.91
2020-03-25,0.84,0.13,1.46,0.5,1.07
2020-03-26,1.07,0.32,1.71,0.72,1.3
2020-03-27,1.17,0.42,1.8,0.8200000000000001,1.3900000000000001
2020-03-28,1.2,0.5,1.85,0.86,1.42
2020-03-29,1.1,0.41000000000000003,1.74,0.78,1.33
2020-03-30,1.01,0.33,1.6500000000000001,0.6900000000000001,1.24
2020-03-31,0.93,0.2,1.52,0.62,1.17
2020-04-01,0.8200000000000001,0.12,1.41,0.5,1.05
2020-04-02,0.79,0.09,1.3800000000000001,0.43,0.99
2020-04-03,0.68,0.02,1.26,0.33,0.88
2020-04-04,0.52,0.0,1.12,0.24,0.75
2020-04-05,0.42,0.0,1.05,0.16,0.64
2020-04-06,0.34,0.0,0.98,0.05,0.5
2020-04-07,0.27,0.0,0.91,0.06,0.46
2020-04-08,0.25,0.0,0.89,0.0,0.4
2020-04-09,0.27,0.0,0.92,0.01,0.42
2020-04-10,0.31,0.0,0.97,0.02,0.46
2020-04-11,0.34,0.0,1.04,0.04,0.51
2020-04-12,0.36,0.0,1.08,0.04,0.53
2020-04-13,0.42,0.0,1.17,0.09,0.62
2020-04-14,0.43,0.0,1.21,0.15,0.6900000000000001
2020-04-15,0.46,0.0,1.27,0.15,0.72
2020-04-16,0.42,0.0,1.24,0.09,0.65
2020-04-17,0.42,0.0,1.26,0.12,0.68
2020-04-18,0.38,0.0,1.23,0.05,0.6
2020-04-19,0.38,0.0,1.24,0.07,0.62
2020-04-20,0.41000000000000003,0.0,1.29,0.11,0.68
