,dates,prediction,+,-
0,2020-03-13,0.0,0.0,0.0
1,2020-03-14,7.463884542060708e-06,9.253846887947312e-07,-9.270647496413944e-07
2,2020-03-15,0.00014437086608464907,1.777929444836057e-05,-1.7838045179109017e-05
3,2020-03-16,0.0011170038070645895,0.00013693219331653117,-0.00013752252615486377
4,2020-03-17,0.006170683609505657,0.0007539226122765556,-0.0007577289730279577
5,2020-03-18,0.026218242425392453,0.0031916640806479712,-0.0032103322541188056
6,2020-03-19,0.08725942834682485,0.010575866019234992,-0.010647954930260994
7,2020-03-20,0.2375162109546731,0.028644865717197515,-0.028871262277101267
8,2020-03-21,0.5535405153601347,0.06640858783088388,-0.0670098151076674
9,2020-03-22,1.145479444707446,0.13668709794397804,-0.13808525279500916
10,2020-03-23,2.1616233549689747,0.25654998820045183,-0.25947679966025206
11,2020-03-24,3.792258054787229,0.44766385032059164,-0.4532953414310743
12,2020-03-25,6.272802059169178,0.7365494949676483,-0.7466668805164458
13,2020-03-26,9.886205348903585,1.1547496086843942,-1.171925346713385
14,2020-03-27,14.964592627139591,1.7389080982855845,-1.7667153156508757
15,2020-03-28,21.890148930743315,2.530763796117956,-2.57400677367038
16,2020-03-29,31.09525848007014,3.577062484570913,-3.6420254121576967
17,2020-03-30,43.06192129913183,4.9293925270614665,-5.024103330136775
18,2020-03-31,58.32048165310484,6.64395011354889,-6.778455928016861
19,2020-04-01,77.4477164110244,8.781241147548627,-8.967891942278499
20,2020-04-02,101.06432473693928,11.405727327282236,-11.659463383904054
21,2020-04-03,129.831894581501,14.585424003958337,-14.924064190147703
22,2020-04-04,164.44938771747417,18.39145751478594,-18.835984111078375
23,2020-04-05,205.64921840864713,22.897590240991747,-23.47242678603567
24,2020-04-06,254.19298663525905,28.17972056973656,-28.912999307635857
25,2020-04-07,310.8669297865927,34.31536539534204,-35.239180971137955
26,2020-04-08,376.47715710934614,41.383132106009384,-42.53377850771176
27,2020-04-09,451.84472762723436,49.46218655035784,-50.8803745495041
28,2020-04-10,537.8006306917512,58.63172325183109,-60.36277585967423
29,2020-04-11,635.180725369811,68.9704429702349,-71.06446690669463
30,2020-04-12,744.820686171545,80.55604330084373,-83.06807439948068
31,2020-04-13,867.5510148228277,93.46472686467712,-96.45484819097135
32,2020-04-14,1004.1921495967782,107.77072968086134,-111.30416126000034
33,2020-04-15,1155.5497176889307,123.54587480152236,-127.69303371570186
34,2020-04-16,1322.4099688625483,140.85915289192985,-145.69568485649484
35,2020-04-17,1505.5354154739211,159.77633359476022,-165.38311199891382
36,2020-04-18,1705.6607140287836,180.35960679917957,-186.82270463219265
37,2020-04-19,1923.4887980989067,202.66725810305638,-210.07788864888244
38,2020-04-20,2159.687308965549,226.7533790129046,-235.2078093131604
39,2020-04-21,2414.8852991486997,252.66760899469364,-262.26704367964203
40,2020-04-22,2689.670251484237,280.4549272598697,-291.3053602404011
41,2020-04-23,2984.585442138485,310.1554250675049,-322.36748723691653
42,2020-04-24,3300.1274712019394,341.8042121464955,-355.4929621560086
43,2020-04-25,3636.744392807282,375.4312555311667,-390.715972847936
44,2020-04-26,3994.833912871352,411.061309186794,-428.0652566795857
45,2020-04-27,4374.742008020068,448.7138550022628,-467.5640231042448
46,2020-04-28,4776.7618445904345,488.40308529750746,-509.22991933352023
47,2020-04-29,5201.132998845404,530.1379001647201,-553.0750121937563
48,2020-04-30,5648.04095711928,573.9219433207309,-599.1058095143626
49,2020-05-01,6117.616913166493,619.7536593827881,-647.3233066292114
50,2020-05-02,6609.937825891287,667.6263748857837,-697.7230565547343
51,2020-05-03,7125.026743429264,717.5284053472378,-750.2952715516731
52,2020-05-04,7662.853360364282,769.4431684378442,-805.0249281174574
53,2020-05-05,8223.334773326384,823.3493455938478,-861.8919212495848
54,2020-05-06,8806.336551577208,879.221027703823,-920.8712167059693
55,2020-05-07,9411.673873753663,937.0278924435188,-981.933019695316
56,2020-05-08,10039.112917239938,996.7353916380234,-1045.0429653099945
57,2020-05-09,10688.372397909226,1058.3049500336838,-1110.162322440403
58,2020-05-10,11359.125253882527,1121.6941766951695,-1177.248207635792
59,2020-05-11,12051.000473961065,1186.857079664298,-1246.253806241266
60,2020-05-12,12763.58500734147,1253.7442900092647,-1317.128595157188
61,2020-05-13,13496.425823890655,1322.3032862239943,-1389.8185920157375
62,2020-05-14,14249.03200310388,1392.4786353956151,-1464.266587227934
63,2020-05-15,15020.876948130466,1464.2122066253905,-1540.412390715941
64,2020-05-16,15811.400615311833,1537.4434576051444,-1618.1930746343169
65,2020-05-17,16620.011880797076,1612.1095817795867,-1697.5432503964785
66,2020-05-18,17446.090546970234,1688.1458002685213,-1778.3951960003014
67,2020-05-19,18288.99025853524,1765.4856803572147,-1860.6793651328044
68,2020-05-20,19148.040381664137,1844.061142008195,-1944.3242969289458
69,2020-05-21,20022.548465433993,1923.8028791508732,-2029.2570888998416
70,2020-05-22,20911.80260934776,2004.6404977803577,-2115.4035447239075
71,2020-05-23,21815.07375710011,2086.502742145469,-2202.6884115312496
72,2020-05-24,22731.617973961886,2169.317710913918,-2291.035624304128
73,2020-05-25,23660.67869698601,2253.0130393603868,-2380.36848003454
74,2020-05-26,24601.48890151421,2337.5161129390835,-2470.6098874960335
75,2020-05-27,25553.273261567643,2422.75424456178,-2561.682550864247
76,2020-05-28,26515.250265566447,2508.654882943658,-2653.5091885383845
77,2020-05-29,27486.634149743244,2595.1456808242037,-2746.0126313879227
78,2020-05-30,28466.636877241028,2682.1547892204944,-2839.1161196154353
79,2020-05-31,29454.470040841945,2769.61095183454,-2932.7434125854998
80,2020-06-01,30449.346666112448,2857.4436274343025,-3026.8189519215593
81,2020-06-02,31450.48291591857,2945.583247083843,-3121.2679757093283
82,2020-06-03,32457.099752762915,3033.96106841469,-3216.0167085489447
83,2020-06-04,33468.42451816548,3122.5095778142786,-3310.9924981800905
84,2020-06-05,34483.692196570824,3211.1625144861027,-3406.123883835524
85,2020-06-06,35502.14751197455,3299.8549922159873,-3501.34089359668
86,2020-06-07,36523.045313745104,3388.523406886394,-3596.5747675500897
87,2020-06-08,37545.65229010494,3477.1057636245314,-3691.7584267072816
88,2020-06-09,38569.24805169516,3565.5416583954648,-3786.826406977554
89,2020-06-10,39593.126167592935,3653.7723276732213,-3881.7149311439134
90,2020-06-11,40616.59518281489,3741.7407318291152,-3976.3620188465284
91,2020-06-12,41638.97943137654,3829.3916103725933,-4070.7075172150508
92,2020-06-13,42659.61991326967,3916.671523401863,-4164.693178501162
93,2020-06-14,43677.87500769292,4003.528892214097,-4258.262696110956
94,2020-06-15,44693.12112723668,4089.914030032858,-4351.361747327763
95,2020-06-16,45704.75330334508,4175.779176235868,-4443.938026929594
96,2020-06-17,46712.18569909425,4261.078503948527,-4535.941272422999
97,2020-06-18,47714.8520384032,4345.768147037241,-4627.323284490536
98,2020-06-19,48712.205988479094,4429.80620403013,-4718.0379414500785
99,2020-06-20,49703.72146365539,4513.1527407189205,-4808.0412089491365
100,2020-06-21,50688.89287088378,4595.769785761026,-4897.291137349064
