,dates,prediction,+,-
0,2020-03-11,0.0,0.0,0.0
1,2020-03-12,1.43849317214578e-06,1.7831930480546056e-07,-1.7864915992343066e-07
2,2020-03-13,2.1780749631836662e-05,2.678418294538381e-06,-2.688130611136129e-06
3,2020-03-14,0.0001106168896204682,1.3503182484092205e-05,-1.3574042937663938e-05
4,2020-03-15,0.0003709551130197268,4.499414762064772e-05,-4.529359970995814e-05
5,2020-03-16,0.0010143199997820994,0.00012237879234250717,-0.00012333538965663793
6,2020-03-17,0.002480572291469479,0.0002980355680456807,-0.0003006365477424555
7,2020-03-18,0.00569002469154831,0.0006815036188209094,-0.0006879141213966943
8,2020-03-19,0.01257007997038303,0.001502149987014952,-0.0015170084648729112
9,2020-03-20,0.027149736391742913,0.0032393705625704747,-0.003272497920756151
10,2020-03-21,0.05781934099077633,0.006891310749064905,-0.006963358526593744
11,2020-03-22,0.12195082008791133,0.014524008918177567,-0.014678173877501893
12,2020-03-23,0.25519649593870786,0.030375744704847496,-0.030701874811232682
13,2020-03-24,0.5296756953279692,0.06301382327519534,-0.06369740422284853
14,2020-03-25,1.087391226122915,0.12928484494655446,-0.1307043438376695
15,2020-03-26,2.1921975513737952,0.26040004498461666,-0.26331156861876925
16,2020-03-27,4.280969631013075,0.5077026359513752,-0.5135572446849896
17,2020-03-28,7.972641944076276,0.9430858600464287,-0.9544940940792683
18,2020-03-29,14.029174235252032,1.6535723028791054,-1.674874903403138
19,2020-03-30,23.29668420287369,2.733731735298363,-2.7716049437466346
20,2020-03-31,36.6473578310321,4.278514740509884,-4.342540694458549
21,2020-04-01,54.93029687423387,6.377455790296999,-6.480605069808924
22,2020-04-02,78.93344900665195,9.110432858788315,-9.26942534266911
23,2020-04-03,109.3562797251761,12.544866271517265,-12.780393485727245
24,2020-04-04,146.79188491556897,16.734132950552265,-17.070938606185194
25,2020-04-05,191.71695653462172,21.716951060839648,-22.18377638289209
26,2020-04-06,244.48802966678554,27.51750547427534,-28.146912621188335
27,2020-04-07,305.3425847515016,34.14611401909559,-34.97420495747622
28,2020-04-08,374.4037711973953,41.60026767345954,-42.666317877607185
29,2020-04-09,451.6877179471567,49.86590984024991,-51.21193665222205
30,2020-04-10,537.1125844629199,58.91884859520326,-60.589133445271614
31,2020-04-11,630.5086707706479,68.72622019185144,-70.76680250030176
32,2020-04-12,731.6290524337313,79.2479430659032,-81.70610180408914
33,2020-04-13,840.1603263413288,90.4381181517009,-93.3618549510818
34,2020-04-14,955.7331561721642,102.2463449848201,-105.68388051838838
35,2020-04-15,1077.9323907746602,114.61893428025155,-118.6182274297571
36,2020-04-16,1206.3065921497036,127.5000045434142,-132.1083019480127
37,2020-04-17,1340.3768690385732,140.83245854854226,-146.0958801265906
38,2020-04-18,1479.6449560553638,154.55883960080223,-160.52200399010326
39,2020-04-19,1623.6005028277311,168.6220698410409,-175.32776225289126
40,2020-04-20,1771.7275725902157,182.96607704764142,-190.4549606827852
41,2020-04-21,1923.5103644658834,197.5363168640256,-205.8466880083372
42,2020-04-22,2078.4382016203626,212.2802004988862,-221.44778652233458
43,2020-04-23,2236.009785453247,227.1474315025448,-237.205230265228
44,2020-04-24,2395.736816227979,242.09026810140494,-253.06842666845296
45,2020-04-25,2557.1469993215765,257.06371526664907,-268.98944553060255
46,2020-04-26,2719.786483032134,272.0256545189318,-284.923182981659
47,2020-04-27,2883.221791777574,286.9369214338526,-300.82747013541984
48,2020-04-28,3047.0413101450195,301.76133828791353,-316.6631339065975
49,2020-04-29,3210.8563538741446,316.465707365192,-332.3940153964545
50,2020-04-30,3374.301889232557,331.0197730339096,-347.9869540216746
51,2020-05-01,3537.0369344758733,345.396156695831,-363.4117415894643
52,2020-05-02,3698.7446896030297,359.5702704630953,-378.6410522761371
53,2020-05-03,3859.1324310466225,373.5202138105615,-393.6503529079382
54,2020-05-04,4017.931207873863,387.2266573211364,-408.4177978411699
55,2020-05-05,4174.895370162184,400.67271682158116,-422.9241119187468
56,2020-05-06,4329.801957902915,413.84382084266235,-437.1524646221719
57,2020-05-07,4482.449976493986,426.7275739937013,-451.08833819965366
58,2020-05-08,4632.659585865213,439.3136188246963,-464.71939256227597
59,2020-05-09,4780.271215546052,451.5934970672406,-478.035327989458
60,2020-05-10,4925.144631874709,463.5605127009976,-491.0277483064001
61,2020-05-11,5067.157966683039,475.2095974158401,-503.69002523440486
62,2020-05-12,5206.206725311432,486.53717981069167,-516.0171654599508
63,2020-05-13,5342.202784010788,497.54105911828174,-528.0056813230121
64,2020-05-14,5475.073387782446,508.22028368597057,-539.6534655689993
