,dates,prediction,+,-
0,2020-01-22,0.0,0.0,0.0
1,2020-01-23,7.212465080441722e-06,8.941427219403073e-07,-8.957817347200712e-07
2,2020-01-24,0.00012699738623518184,1.5631934842911253e-05,-1.568532202610043e-05
3,2020-01-25,0.000872803188638326,0.00010688913329199873,-0.00010737354132760884
4,2020-01-26,0.004558865784099257,0.0005566868797887894,-0.0005595643530518337
5,2020-01-27,0.02175882472564844,0.002653319340080156,-0.0026678314513796965
6,2020-01-28,0.10061499541936579,0.012261865924092896,-0.012330519146391994
7,2020-01-29,0.45537129393421416,0.0554730804866137,-0.05578859906519773
8,2020-01-30,1.8452567491197691,0.22436211017268382,-0.22573241805808064
9,2020-01-31,5.7295650544412995,0.6932808040437708,-0.6982574086431983
10,2020-02-01,13.799392416757804,1.6585903050882074,-1.672942845424327
11,2020-02-02,27.57369122679003,3.288986532648167,-3.322957984528518
12,2020-02-03,48.21732762626161,5.704870429905867,-5.7739403710424
13,2020-02-04,76.49565814439995,8.975044103570767,-9.100160248968962
14,2020-02-05,112.79948940889551,13.121943629141484,-13.329295578669132
15,2020-02-06,157.20072248621815,18.130241449476813,-18.450691686200628
16,2020-02-07,209.5167680542368,23.9560456093798,-24.42433559430995
17,2020-02-08,269.3725863166442,30.53535110031106,-31.189185496249962
18,2020-02-09,336.2553738531624,37.79120145887691,-38.67029254223581
19,2020-02-10,409.5602855799632,45.63944489420612,-46.78457797017302
20,2020-02-11,488.6272933564499,53.9931761332021,-55.44533794694746
21,2020-02-12,572.7700693342068,62.76604128374004,-64.56563795885256
22,2020-02-13,661.2980606251019,71.87460462573881,-74.06078362012056
23,2020-02-14,753.5329416299463,81.23996646993146,-83.85004806369432
24,2020-02-15,848.8205286871245,90.78879799602657,-93.85781541637004
25,2020-02-16,946.5390943344311,100.45393194970904,-104.01427487994249
26,2020-02-17,1046.1048637424,110.17462190951596,-114.25577535886055
27,2020-02-18,1146.975333035947,119.89655972723381,-124.52492865653039
28,2020-02-19,1248.6509238591702,129.57172107496422,-134.77053046874425
29,2020-02-20,1350.6753835529578,139.15809301429067,-144.94735299356398
30,2020-02-21,1452.6352554126925,148.61932472502917,-155.01585063479615
31,2020-02-22,1554.1586715986052,157.924332137919,-164.94181013853904
32,2020-02-23,1654.913668497771,167.04687960218143,-174.6959690629426
33,2020-02-24,1754.6061782837264,175.9651552047062,-184.25362007751528
34,2020-02-25,1852.977813851057,184.6613517725457,-193.59421395334698
35,2020-02-26,1949.8035424574523,193.12126205333107,-202.70097070430984
36,2020-02-27,2044.8893114947398,201.3338933657344,-211.5605049088781
37,2020-02-28,2138.0696831730215,209.2911056654243,-220.1624699846484
38,2020-02-29,2229.205514672213,216.98727474625002,-228.4992238521204
39,2020-03-01,2318.1817120914425,224.4189815158661,-236.5655175639463
40,2020-03-02,2404.905077873666,231.58472734037923,-244.35820747650268
41,2020-03-03,2489.3022649029376,238.48467487903827,-251.87599089453943
42,2020-03-04,2571.3178454334357,245.12041342298153,-259.11916464724754
43,2020-03-05,2650.9124992583866,251.49474747828708,-266.08940572417896
44,2020-03-06,2728.061322313078,257.6115071550548,-272.7895728609519
45,2020-03-07,2802.752255086153,263.4753788823705,-279.22352787553064
46,2020-03-08,2874.9846279852577,269.0917548565776,-285.395975398676
47,2020-03-09,2944.7678202265706,274.46659974409476,-291.31231971421084
48,2020-03-10,3012.1200277734915,279.60633315951463,-296.97853739195125
