,dates,prediction,+,-
0,2020-03-01,0.0,0.0,0.0
1,2020-03-02,1.9687173770470558e-06,2.4403942041809077e-07,-2.444925729818714e-07
2,2020-03-03,2.880327145480946e-05,3.5412529271059955e-06,-3.5542575131050985e-06
3,2020-03-04,0.0001389495947208267,1.6951285118112843e-05,-1.7042570271908e-05
4,2020-03-05,0.0004354206908265033,5.274414334657145e-05,-5.311048497726813e-05
5,2020-03-06,0.0010953121383779278,0.0001318510315865013,-0.00013294778628845764
6,2020-03-07,0.00242891705339319,0.0002908305831446352,-0.0002935884858028541
7,2020-03-08,0.004987978168314037,0.0005946271662827275,-0.0006008327486012616
8,2020-03-09,0.009761072131672635,0.0011595868888454267,-0.0011725610478302527
9,2020-03-10,0.01852552948787537,0.002194899918605643,-0.0022207166016320196
10,2020-03-11,0.03448119193916425,0.004077219892279632,-0.004126900195753885
11,2020-03-12,0.06339164806354716,0.007485023342701694,-0.007578488496684348
12,2020-03-13,0.11563893085073906,0.013640500525111399,-0.01381369408118488
13,2020-03-14,0.20992163865809288,0.02474490277341454,-0.025062620264916652
14,2020-03-15,0.37990783717108156,0.044761699079174155,-0.04534069175019806
15,2020-03-16,0.6861956772129253,0.08082446909019336,-0.08187503256206419
16,2020-03-17,1.2377956059331199,0.1457654187134616,-0.14766621703999516
17,2020-03-18,2.2306570803071573,0.2626496247697472,-0.26608221316235814
18,2020-03-19,4.016590064905916,0.4728851325619017,-0.4790755518180698
19,2020-03-20,7.2259438292225395,0.8506541971049826,-0.8618060944983288
20,2020-03-21,12.982882577359792,1.528215535748016,-1.5482838485183645
21,2020-03-22,23.23339211187831,2.73413250275458,-2.77018385881016
22,2020-03-23,40.80844254676535,4.797495793790887,-4.861836123141032
23,2020-03-24,68.83522261884869,8.072524527903838,-8.185163597940807
24,2020-03-25,110.14977191227928,12.866711901769875,-13.05742282922813
25,2020-03-26,166.98263809230696,19.40509020739495,-19.714646375755137
26,2020-03-27,240.84126702390836,27.819668572767796,-28.300159247309267
27,2020-03-28,332.5120733276216,38.15358113560876,-38.867889033239635
28,2020-03-29,442.12880288688893,50.37285865795599,-51.39346815638402
29,2020-03-30,569.2724911586068,64.38133525249498,-65.78866599916984
30,2020-03-31,713.0814580848103,80.03599725601373,-81.91645036039665
31,2020-04-01,872.3586307006785,97.16126929695952,-99.60514868500707
32,2020-04-02,1045.6692755308804,115.56149306233306,-118.66093323019788
33,2020-04-03,1231.4259139348744,135.0313250907734,-138.878324437145
34,2020-04-04,1427.9594678437984,155.3640581825075,-160.04868761187458
35,2020-04-05,1633.5770193880417,176.35802410113206,-181.9668552184287
36,2020-04-06,1846.6072960945353,197.8213091300879,-204.43608558141045
37,2020-04-07,2065.4353345452564,219.57503909024945,-227.27159834119925
38,2020-04-08,2288.5278778171423,241.45548672928408,-250.3029273823397
39,2020-04-09,2514.4510236833135,263.31523497922717,-273.3753160454303
40,2020-04-10,2741.881524957615,285.0236026695502,-296.35035542668766
41,2020-04-11,2969.6129905296752,306.4665098980604,-319.10603951085113
42,2020-04-12,3196.558070875412,327.54593141239,-341.5363838423
43,2020-04-13,3421.747549919437,348.1790596639212,-363.5507291097215
44,2020-04-14,3644.3271143380775,368.2972754403627,-385.07282825194306
45,2020-04-15,3863.552435842561,387.84500342682077,-406.0397958191056
46,2020-04-16,4078.7830831260403,406.77851263349794,-426.4009813522871
47,2020-04-17,4289.47567789437,425.0647071393041,-446.1168143077957
48,2020-04-18,4495.176622714458,442.6799407260223,-465.1576562865389
49,2020-04-19,4695.514655858942,459.6088793833178,-483.50268673777464
50,2020-04-20,4890.193428273425,475.8434280193542,-501.13884058895746
51,2020-04-21,5078.984248583082,491.3817317068524,-518.0598101248615
