,dates,prediction,+,-
0,2020-02-23,0.0,0.0,0.0
1,2020-02-24,4.2259575962555284e-07,5.2389564857838614e-08,-5.248569077967736e-08
2,2020-02-25,7.282120612986898e-06,8.962259359600099e-07,-8.993134966740441e-07
3,2020-02-26,4.77979316275399e-05,5.851043281235748e-06,-5.878135436586927e-06
4,2020-02-27,0.00023370360054462088,2.851395774564576e-05,-2.866659354992389e-05
5,2020-02-28,0.0010314509532757335,0.00012563392237479698,-0.00012635263548837084
6,2020-02-29,0.004393574074624453,0.0005347508705366415,-0.0005378963672656818
7,2020-03-01,0.01848004524600515,0.002248552493843821,-0.002261927167884911
8,2020-03-02,0.07727615680954403,0.009401222752180735,-0.009457426410555692
9,2020-03-03,0.32144700313583824,0.03910231368727857,-0.03933697472125397
10,2020-03-04,1.3248828444924952,0.16113829320078255,-0.16211117014508547
11,2020-03-05,5.2681354076448645,0.6403069949953242,-0.6442674575326777
12,2020-03-06,17.91196650765771,2.170800956404701,-2.185615138887915
13,2020-03-07,48.10267127001053,5.79884246360308,-5.845203239643652
14,2020-03-08,105.44618190087726,12.626721608994657,-12.746295688790681
15,2020-03-09,198.65443998346018,23.61159351735097,-23.87375199996012
16,2020-03-10,334.72222783240016,39.47332832864828,-39.97937536233877
17,2020-03-11,518.649566977661,60.67181479629937,-61.5565268030893
18,2020-03-12,753.4797280679206,87.42275877242605,-88.85352843520297
19,2020-03-13,1040.5002508991938,119.73188161504709,-121.90596769676972
20,2020-03-14,1379.5129998050836,157.43546691367737,-160.57589693943987
21,2020-03-15,1769.1187215604032,200.2405255120757,-204.59115922603337
22,2020-03-16,2206.986629440524,247.76117002580804,-253.58135394196165
23,2020-03-17,2690.0948807371387,299.54977712203436,-307.10893155320855
24,2020-03-18,3214.936793140061,355.12264166244086,-364.69503563169064
25,2020-03-19,3777.6926955464583,413.98042694714195,-425.8403205789109
26,2020-03-20,4374.369885254686,475.6239925239197,-490.0412632591033
27,2020-03-21,5000.91432369292,539.5662776827912,-556.8025961493786
28,2020-03-22,5653.298028178768,605.340913516292,-625.6464960183639
29,2020-03-23,6327.585998909057,672.5081808559571,-696.1191166229719
30,2020-03-24,7019.986188369278,740.6588554867249,-767.7949862688465
31,2020-03-25,7726.885586759254,809.4163990053949,-840.2797147812407
32,2020-03-26,8444.875092322514,878.4378801301209,-913.2113861374401
33,2020-03-27,9170.765344468196,947.4139325814667,-986.2609380389777
34,2020-03-28,9901.595452993053,1016.0680094384898,-1059.1317869947598
35,2020-03-29,10634.636089233643,1084.1551270760774,-1131.558892152565
36,2020-03-30,11367.388264680556,1151.460264038833,-1203.307425570105
37,2020-03-31,12097.578781670758,1217.7965337953992,-1274.1711706492188
38,2020-04-01,12823.153216395202,1283.0032297393282,-1343.9707508218798
39,2020-04-02,13542.267103535027,1346.9438143986445,-1412.5517644358952
40,2020-04-03,14253.27586227725,1409.5039076896555,-1479.7828846396114
41,2020-04-04,14954.723898026128,1470.5893145466725,-1545.5539686321808
42,2020-04-05,15645.333228775575,1530.1241220160355,-1609.774210138452
43,2020-04-06,16323.991904187522,1588.0488836592085,-1672.370356931713
44,2020-04-07,16989.742427896283,1644.3189068039756,-1733.2850118105198
45,2020-04-08,17641.77034768333,1698.9026483792368,-1792.4750262718426
46,2020-04-09,18279.393133908332,1751.7802233236034,-1849.9099934932965
47,2020-04-10,18902.049443664262,1802.9420280303566,-1905.5708453730658
48,2020-04-11,19509.28882867823,1852.3874736330145,-1959.448551066027
49,2020-04-12,20100.761937024698,1900.123828545973,-2011.5429179673592
50,2020-04-13,20676.211237264524,1946.165164782131,-2061.861491518597
51,2020-04-14,21235.462272503297,1990.5314015051772,-2110.418548748268
52,2020-04-15,21778.415459808908,2033.2474420095423,-2157.2341828909884
53,2020-04-16,22305.038416369294,2074.3423954342943,-2202.333471502061
54,2020-04-17,22815.358826976582,2113.848881111524,-2245.745726755693
55,2020-04-18,23309.45780906845,2151.8024044926933,-2287.5038177080205
56,2020-04-19,23787.463777739078,2188.240802322376,-2327.643562672194
57,2020-04-20,24249.54677980352,2223.2037496296143,-2366.203184779264
58,2020-04-21,24695.913286210707,2256.73232462562,-2403.222827214213
59,2020-04-22,25126.801401710178,2288.8686240250354,-2438.744120871648
60,2020-04-23,25542.476481965314,2319.6554260337216,-2472.8098018815363
61,2020-04-24,25943.227129831885,2349.1358956593904,-2505.4633738403063
62,2020-04-25,26329.361549453486,2377.3533285996673,-2536.7488110745
63,2020-04-26,26701.204228211867,2404.3509290865295,-2566.7102983216355
64,2020-04-27,27059.092931767067,2430.171619010558,-2595.3920042070495
65,2020-04-28,27403.37598724661,2454.8578747151223,-2622.8378848642133
66,2020-04-29,27734.40983066489,2478.4515882338965,-2649.091514392392
67,2020-04-30,28052.556804183383,2500.993950795917,-2674.1959399558655
68,2020-05-01,28358.183181554396,2522.525355869264,-2698.193558690258
69,2020-05-02,28651.657401924596,2543.085319373171,-2721.1260139296646
70,2020-05-03,28933.348499358264,2562.71241539931,-2743.034109035809
71,2020-05-04,29203.624709770196,2581.444225410596,-2763.957736666245
72,2020-05-05,29462.852239266835,2599.317299207978,-2783.9358216467954
73,2020-05-06,29711.3941834581,2616.367126447425,-2803.0062761577974
74,2020-05-07,29949.60958227967,2632.6281171941446,-2821.205965582132
75,2020-05-08,30177.852598081365,2648.1335903316212,-2838.5706837189646
76,2020-05-09,30396.471807747814,2662.9157688927407,-2855.1351363473004
77,2020-05-10,30605.80959735942,2677.0057812902996,-2870.9329319997123
78,2020-05-11,30806.20164893821,2690.433667562236,-2885.996578949984
79,2020-05-12,30997.97651226883,2703.228389990003,-2900.3574877012943
80,2020-05-13,31181.455252711236,2715.4178473683096,-2914.045978151127
81,2020-05-14,31356.951166690153,2727.028892307273,-2927.091290716482
82,2020-05-15,31524.769559503595,2738.087351120932,-2939.52160091346
