,dates,prediction,+,-
0,2020-03-06,0.0,0.0,0.0
1,2020-03-07,3.506935444614252e-06,4.3480786837479917e-07,-4.3560774908156055e-07
2,2020-03-08,5.732415242931386e-05,7.053623091551406e-06,-7.0784452558055286e-06
3,2020-03-09,0.0003365212687002234,4.115270363569249e-05,-4.1353717943379005e-05
4,2020-03-10,0.0013949323210529943,0.000169823204695015,-0.00017081941375044103
5,2020-03-11,0.005011630405109514,0.000608393299435332,-0.0006123407885582086
6,2020-03-12,0.01694038751689647,0.002053171694075758,-0.002067213997034788
7,2020-03-13,0.05579255317181372,0.006756371344343114,-0.006803800416431902
8,2020-03-14,0.18160737102050267,0.021983035807532803,-0.02213933615764377
9,2020-03-15,0.5868039838027995,0.07101328176823551,-0.07152196255211696
10,2020-03-16,1.8682332704069626,0.2259994941051704,-0.22763778895346531
11,2020-03-17,5.464723927466522,0.6597492279578709,-0.664822878426448
12,2020-03-18,13.521357918213958,1.6251917455590164,-1.639281121993486
13,2020-03-19,28.321860430606964,3.3833714900171756,-3.4172570147584374
14,2020-03-20,51.893609705987714,6.155584522521707,-6.226790357983148
15,2020-03-21,85.81251240407727,10.101724241116585,-10.235428753639525
16,2020-03-22,131.1391670877886,15.31531085254943,-15.544586444453131
17,2020-03-23,188.43278195518045,21.82797804065774,-22.19343883955085
18,2020-03-24,257.80656733047215,29.618629382527104,-30.167616226128985
19,2020-03-25,339.00140917214856,38.62428652023709,-39.40973056640519
20,2020-03-26,431.46373240507063,48.750887892005665,-49.82998457885179
21,2020-03-27,534.4195179764032,59.88310416693969,-61.315909355353654
22,2020-03-28,646.940353250491,71.89274627509496,-73.7407830569839
23,2020-03-29,767.999819147601,84.64564765769842,-86.970589341616
24,2020-03-30,896.519983286214,98.00707857713837,-100.86955281828443
25,2020-03-31,1031.4085765571729,111.84583978315709,-115.30438154687727
26,2020-04-01,1171.5878400513327,126.03722100921186,-130.14738820281264
27,2020-04-02,1316.0161877284443,140.46501676054118,-145.27867174842277
28,2020-04-03,1463.7038382115575,155.02278123691622,-160.58753367266013
29,2020-04-04,1613.7234960083847,169.61448506453735,-175.97328607610393
30,2020-04-05,1765.2170488702877,184.1547139580839,-191.3455882557655
31,2020-04-06,1917.3991195144504,198.56852663338213,-206.62442715602538
32,2020-04-07,2069.558181814741,212.79106797863415,-221.73983688905219
33,2020-04-08,2221.055832009866,226.76701449887287,-236.6314343782633
34,2020-04-09,2371.3246985969563,240.4499126864107,-251.24783240998477
35,2020-04-10,2519.8653809934403,253.8014571134554,-265.54597791804827
36,2020-04-11,2666.242729212092,266.7907438483585,-279.4904523730779
37,2020-04-12,2810.0817087868263,279.3935253468476,-293.0527618228057
38,2020-04-13,2951.063041474305,291.5914857351522,-306.21063693274255
39,2020-04-14,3088.918767087434,303.37154952803667,-318.9473574799031
40,2020-04-15,3223.4278356900463,314.72523230738443,-331.25111116991957
41,2020-04-16,3354.4118102197785,325.6480384026745,-343.1143930701346
42,2020-04-17,3481.7307365189254,336.1389079999535,-354.5334492266975
43,2020-04-18,3605.2792196578184,346.1997141686693,-365.5077659825479
44,2020-04-19,3724.982731122482,355.83480889862176,-376.03960499402
45,2020-04-20,3840.7941606852564,365.0506162632646,-386.13358285798677
46,2020-04-21,3952.6906183258543,373.8552701744011,-395.79629349763627
47,2020-04-22,4060.6704854192826,382.2582937966922,-405.03597095857276
48,2020-04-23,4164.7507098125725,390.2703174700546,-413.8621899549339
49,2020-04-24,4264.964336094445,397.9028319071431,-422.2856013409778
50,2020-04-25,4361.358260402627,405.1679735302623,-430.31769970057167
51,2020-04-26,4453.991197148611,412.0783387538968,-437.970620140497
52,2020-04-27,4542.931844612655,418.6468243227546,-445.25696160012376
53,2020-04-28,4628.257235964367,424.8864909385147,-452.18963407473166
54,2020-04-29,4710.051262180476,430.8104475812952,-458.78172728337177
55,2020-04-30,4788.4033534125365,436.4317541414048,-465.04639848034276
56,2020-05-01,4863.407306061665,441.76334020389095,-470.9967773101225
57,2020-05-02,4935.160243154715,446.81793800252854,-476.6458857540465
58,2020-05-03,5003.761696257542,451.60802774873446,-482.0065713861932
59,2020-05-04,5069.312798455844,456.14579381072963,-487.09145240988346
60,2020-05-05,5131.915576898047,460.4430901257829,-491.91287284131977
61,2020-05-06,5191.672336746015,464.51141378796547,-496.4828667537695
62,2020-05-07,5248.685126646099,468.36188551579926,-500.813130254327
63,2020-05-08,5303.05527801268,472.0052360660975,-504.9150002197248
64,2020-05-09,5354.88301038214,475.45179768394974,-508.79943883573105
65,2020-05-10,5404.267095964519,478.7114998073166,-512.4770231141538
66,2020-05-11,5451.3045774351995,481.79386838679056,-515.9579387021458
67,2020-05-12,5496.090532295489,484.7080281170738,-519.25197722755
68,2020-05-13,5538.717879734031,487.4627071964833,-522.3685367563703
69,2020-05-14,5579.277224391084,490.0662440633223,-525.3166247605068
70,2020-05-15,5617.856733083515,492.52659575918824,-528.104863203861
71,2020-05-16,5654.542040510885,494.8513475762593,-530.7414953598909
72,2020-05-17,5689.416180459364,497.04772369802777,-533.2343940305873
73,2020-05-18,5722.559539228938,499.12259857878416,-535.5910708722613
74,2020-05-19,5754.04982864711,501.0825088697311,-537.818686602136
75,2020-05-20,5783.962075969919,502.93366569561294,-539.9240618551803
76,2020-05-21,5812.368628358566,504.6819671343701,-541.9136885113194
77,2020-05-22,5839.3391699689255,506.3330107794618,-543.7937413448444
78,2020-05-23,5864.940749791536,507.89210627313605,-545.5700898576897
79,2020-05-24,5889.2378185970065,509.3642877283046,-547.2483101887665
80,2020-05-25,5912.292273570688,510.75432596566225,-548.8336970045875
81,2020-05-26,5934.163509227343,512.066740510415,-550.3312752924294
82,2020-05-27,5954.908473745137,513.3058113008328,-551.7458119952962
83,2020-05-28,5974.581729415528,514.4755900725249,-553.0818274300254
84,2020-05-29,5993.235516429785,515.5799113958456,-554.3436064524085
85,2020-05-30,6010.919819224964,516.6224033473236,-555.5352093365864
86,2020-05-31,6027.6824347542,517.6064977918868,-556.660482334938
87,2020-06-01,6043.569041971906,518.5354402800058,-557.7230679083914
88,2020-06-02,6058.6232720984635,519.4122995488551,-558.7264146086518
89,2020-06-03,6072.886779171384,520.2399766260987,-559.6737866015383
90,2020-06-04,6086.399310504804,521.0212135548682,-560.5682728411512
91,2020-06-05,6099.19877673368,521.7586017119174,-561.4127958630088
92,2020-06-06,6111.321321115925,522.4545897623448,-562.210120229719
93,2020-06-07,6122.801387888543,523.1114912373514,-562.9628606129991
94,2020-06-08,6133.671789463663,523.7314917532758,-563.6734895247773
95,2020-06-09,6143.963772293306,524.3166558822268,-564.3443447037307
96,2020-06-10,6153.707081228501,524.8689336761172,-564.9776361557806
97,2020-06-11,6162.930022350691,525.3901668796825,-565.5754528808984
98,2020-06-12,6171.659524085498,525.8820948168732,-566.1397692685277
99,2020-06-13,6179.921196591371,526.3463599817624,-566.6724511902275
100,2020-06-14,6187.739389349888,526.7845133389128,-567.175261792896
101,2020-06-15,6195.137246933837,527.1980193480676,-567.6498670059536
102,2020-06-16,6202.136762946508,527.5882607271442,-568.0978407753728
103,2020-06-17,6208.7588320649265,527.9565429570639,-568.5206700267854
104,2020-06-18,6215.02330027031,528.3040985525604,-568.9197593815015
105,2020-06-19,6220.94901322115,528.6320911013972,-569.2964356270486
106,2020-06-20,6226.553862805891,528.9416190864431,-569.6519519563781
107,2020-06-21,6231.854831902584,529.2337195014406,-569.987491986295
108,2020-06-22,6236.86803737739,529.5093712707694,-570.3041735653651
109,2020-06-23,6241.608771327875,529.7694984801519,-570.6030523779318
110,2020-06-24,6246.091540658981,530.0149734335182,-570.8851253599232
111,2020-06-25,6250.330104994721,530.2466195405559,-571.151333930824
112,2020-06-26,6254.337512984862,530.4652140457201,-571.4025670528727
113,2020-06-27,6258.1261370471875,530.6714906064726,-571.6396641254996
114,2020-06-28,6261.707706612208,530.8661417306121,-571.863417725317
115,2020-06-29,6265.093339865598,531.0498210753212,-572.0745761941389
116,2020-06-30,6268.29357410445,531.2231456217705,-572.2738460898545
