,dates,prediction,+,-
0,2020-03-02,0.0,0.0,0.0
1,2020-03-03,7.033642054000134e-06,8.719217317961629e-07,-8.735315541774781e-07
2,2020-03-04,0.00011474175025316922,1.4117172164785385e-05,-1.4166768737673859e-05
3,2020-03-05,0.0006945989224714713,8.495882221812648e-05,-8.536735952008009e-05
4,2020-03-06,0.003062295158083379,0.00037309921071681596,-0.00037521303487758964
5,2020-03-07,0.011991036739100017,0.0014577052161665292,-0.0014666689124806474
6,2020-03-08,0.04489229128181565,0.005451382723367225,-0.00548620106298954
7,2020-03-09,0.1652285962042404,0.020054123336150725,-0.020184353566097074
8,2020-03-10,0.6036093623483034,0.07324441401665127,-0.07372365890897092
9,2020-03-11,2.1925284157089306,0.2660105221696556,-0.26775962977073386
10,2020-03-12,7.85651203863857,0.9529120487163034,-0.9592408142681776
11,2020-03-13,25.650894816448517,3.1051492812417862,-3.1271071039118894
12,2020-03-14,68.32980488540382,8.232904489990105,-8.29965080775522
13,2020-03-15,149.08002519701816,17.845480307351835,-18.01579775811976
14,2020-03-16,278.74471283624456,33.11661562082088,-33.48741923657769
15,2020-03-17,464.81569515734685,54.77820421836276,-55.48856197498776
16,2020-03-18,711.4048973097215,83.1362418818494,-84.36709188900284
17,2020-03-19,1019.6712084196181,118.14018750385026,-120.11065089508804
18,2020-03-20,1388.406925573052,159.46776430102886,-162.42913163546723
19,2020-03-21,1814.6308907065445,206.60627987220755,-210.83466777108106
20,2020-03-22,2294.1181465770833,258.92238195695154,-264.71087236765425
21,2020-03-23,2821.8410844689142,315.71794623529286,-323.36881493285046
22,2020-03-24,3392.320156517868,376.27263826836315,-386.0900907767614
23,2020-03-25,3999.8928107314227,439.8748996916597,-452.15857653082503
24,2020-03-26,4638.9131825782615,505.84345855529864,-520.8828503382447
25,2020-03-27,5303.895511511368,573.5413902540649,-591.61121366932
26,2020-03-28,5989.613109134814,642.3845027873576,-663.741025752839
27,2020-03-29,6691.162976170945,711.8455145613061,-736.7237772998669
28,2020-03-30,7404.0043508043245,781.455196332352,-810.0670497611482
29,2020-03-31,8123.977811438677,850.8013887449324,-883.3342581073457
30,2020-04-01,8847.310128090727,919.5265894060976,-956.1428661082064
31,2020-04-02,9570.608882270782,987.3246288826995,-1028.1615943404977
32,2020-04-03,10290.849934386688,1053.9368181788577,-1099.1070081245798
33,2020-04-04,11005.360078988057,1119.1478449143797,-1168.7397696243315
34,2020-04-05,11711.796637000349,1182.7816135664834,-1236.8607576960312
