,dates,prediction,+,-
0,2020-03-05,0.0,0.0,0.0
1,2020-03-06,5.603352080586279e-07,6.945894082762653e-08,-6.958778629809545e-08
2,2020-03-07,8.537939203717692e-06,1.050006444463639e-06,-1.0537958844882026e-06
3,2020-03-08,4.531261691118877e-05,5.534340854071217e-06,-5.56272622587826e-06
4,2020-03-09,0.00016503185679152285,2.004659771744164e-05,-2.0173485788851377e-05
5,2020-03-10,0.0005084315076312021,6.151657363222902e-05,-6.195896602872818e-05
6,2020-03-11,0.0014469807167665641,0.00017462063214952576,-0.00017597473019762846
7,2020-03-12,0.003965036742778712,0.0004777480323368676,-0.0004816141153262507
8,2020-03-13,0.010671748145783356,0.0012847045823768041,-0.0012953435156726218
9,2020-03-14,0.02847712879016728,0.003426550784360872,-0.0034552727461655657
10,2020-03-15,0.07565627109541834,0.009101124982881847,-0.009177902135321492
11,2020-03-16,0.20044784773279,0.024109453731951114,-0.02431359298238514
12,2020-03-17,0.5298218353916456,0.06371914828428638,-0.0642601035823247
13,2020-03-18,1.3964838234770995,0.1679309409687566,-0.1693604050212616
14,2020-03-19,3.6651833173545496,0.4406857247263911,-0.44445056554463713
15,2020-03-20,9.540823745112974,1.1468476790773767,-1.1567111554358842
16,2020-03-21,24.210166998596044,2.9078617203227104,-2.933379409609927
17,2020-03-22,56.96652587289563,6.82597982024614,-6.889459629312277
18,2020-03-23,119.52325867496667,14.260499055811934,-14.40659644727053
19,2020-03-24,223.52941346218296,26.51730068075514,-26.82233617248758
20,2020-03-25,378.96859053873993,44.65890664805056,-45.23772602355024
21,2020-03-26,593.4093632568313,69.42534525178576,-70.4348614418318
22,2020-03-27,871.8192989242534,101.22585691427503,-102.86529816436325
23,2020-03-28,1216.7065369668555,140.16975014106674,-142.6781062419766
24,2020-03-29,1628.4277046144175,186.11529953936406,-189.76664373281733
25,2020-03-30,2105.5606138067747,238.72378349748078,-243.82116664274326
26,2020-03-31,2645.281916901406,297.5113871627914,-304.37993155287904
27,2020-04-01,3243.7172923444427,361.89531530697377,-370.87502790127746
28,2020-04-02,3896.2489318763787,431.2326740526473,-442.67138211305155
29,2020-04-03,4597.775416646729,504.851960544147,-519.0986626831268
30,2020-04-04,5342.92490615142,582.0776824781651,-599.4765125105596
31,2020-04-05,6126.225595163579,662.2489463022157,-683.1338686059207
32,2020-04-06,6942.238705416444,744.7329520427102,-769.4232452050555
33,2020-04-07,7785.659591624864,828.9343111914368,-857.7308499285464
34,2020-04-08,8651.392305018562,914.3010212219197,-947.4833327026918
35,2020-04-09,9534.602449781794,1000.3278218543583,-1038.1518693338294
36,2020-04-10,10430.752554288298,1086.5575447968204,-1129.2541766780305
37,2020-04-11,11335.623548180263,1172.5809605110135,-1220.3549547092844
38,2020-04-12,12245.32535942039,1258.0355309079496,-1311.065161014023
39,2020-04-13,13156.299108180547,1342.603392282741,-1401.0404422397041
40,2020-04-14,14065.31292366641,1426.0088237228592,-1489.978980443011
41,2020-04-15,14969.453027887166,1508.015399123642,-1577.6189568923583
42,2020-04-16,15866.111383956644,1588.4229725493406,-1663.7357882068627
43,2020-04-17,16752.970981873525,1667.0646115044547,-1748.1392557797499
44,2020-04-18,17627.989555787743,1743.8035595578367,-1830.670615518624
45,2020-04-19,18489.382406166165,1818.5302902929434,-1911.199756183818
46,2020-04-20,19335.604812974372,1891.1596909513974,-1989.6224506511535
47,2020-04-21,20165.334426569498,1961.6284053916133,-2065.8577347128594
48,2020-04-22,20977.453927020553,2029.892350228336,-2139.8454327698273
49,2020-04-23,21771.03416171693,2095.9244131445266,-2211.543843618201
50,2020-04-24,22545.317931747773,2159.712338240115,-2280.9275951290183
51,2020-04-25,23299.704508105,2221.2567871661013,-2347.9856611346404
52,2020-04-26,24033.734962447328,2280.5695796209693,-2412.719545867749
53,2020-04-27,24747.07836112199,2337.672101192584,-2475.141627696241
54,2020-04-28,25439.518821670183,2392.5938683868735,-2535.2736540153637
55,2020-04-29,26110.943442514672,2445.3712418259383,-2593.145380338563
56,2020-04-30,26761.331091894936,2496.0462771475977,-2648.793344777132
57,2020-05-01,27390.74203407196,2544.665702860202,-2702.259768615517
58,2020-05-02,27999.308356604382,2591.2800138190796,-2753.5915727992506
59,2020-05-03,28587.225171631475,2635.9426714581095,-2802.839502393763
60,2020-05-04,29154.742548520684,2678.7094003691454,-2850.057349372153
61,2020-05-05,29702.158141864536,2719.637572721964,-2895.3012658087573
62,2020-05-06,30229.810455790284,2758.785669792218,-2938.629157105206
63,2020-05-07,30738.072741285483,2796.212817357424,-2980.1001524811
64,2020-05-08,31227.34744815581,2831.978382794532,-3019.7741406562345
65,2020-05-09,31698.061208025385,2866.141629345082,-3057.7113663431155
66,2020-05-10,32150.66030941205,2898.7614212584886,-3093.9720813261265
67,2020-05-11,32585.60662988719,2929.895974273495,-3128.616244620207
68,2020-05-12,33003.373983791826,2959.602645691666,-3161.703265861601
69,2020-05-13,33404.444857998904,2987.93776006758,-3193.29178790468
70,2020-05-14,33789.3074999364,3014.9564658416857,-3223.43950381417
71,2020-05-15,34158.45333268322,3040.712619581609,-3252.2030048168817
72,2020-05-16,34512.374667413926,3065.2586942448397,-3279.637655458526
73,2020-05-17,34851.562687033686,3088.6457083995483,-3305.797492737962
74,2020-05-18,35176.50567567327,3110.9231736150614,-3330.73514624334
75,2020-05-19,35487.6874749909,3132.1390578481078,-3354.5017769828337
76,2020-05-20,35785.5861451085,3152.3397625422876,-3377.1470324391194
77,2020-05-21,36070.67280942159,3171.570111426234,-3398.719015642251
78,2020-05-22,36343.41066769438,3189.873349457557,-3419.264266563805
79,2020-05-23,36604.25416037388,3207.291150347861,-3438.8277540974377
80,2020-05-24,36853.648269599056,3223.8636313716124,-3457.4528771767873
81,2020-05-25,37092.02794246129,3239.629374244272,-3475.181473657867
82,2020-05-26,37319.817623767216,3254.625451044143,-3492.053835794126
83,2020-05-27,37537.43088789771,3268.887454327356,-3508.108731335109
84,2020-05-28,37745.270158460065,3282.4495306049503,-3523.3834292803294
85,2020-05-29,37943.72650619616,3295.344416496948,-3537.9137294849206
86,2020-05-30,38133.17951587154,3307.6034769503094,-3551.733995384813
87,2020-05-31,38313.997215132105,3319.256745032282,-3564.877189263825
88,2020-06-01,38486.53605751715,3330.3329628262436,-3577.3749094852465
89,2020-06-02,38651.140953118505,3340.8596230429903,-3589.257429213343
90,2020-06-03,38808.14534054668,3350.8630110124286,-3600.55373620116
91,2020-06-04,38957.871295362114,3360.368246779173,-3611.291573301656
92,2020-06-05,39100.62966981638,3369.399327054547,-3621.497479381207
93,2020-06-06,39236.72025953343,3377.9791668176913,-3631.1968303653484
94,2020-06-07,39366.43199296268,3386.129640398707,-3640.413880188433
95,2020-06-08,39490.04314020233,3393.8716219019334,-3649.1718014549188
96,2020-06-09,39607.82153797175,3401.225024849744,-3657.492725645352
97,2020-06-10,39720.02482782756,3408.2088409524004,-3665.3977827279596
98,2020-06-11,39826.90070501886,3414.84117792546,-3672.9071400580215
99,2020-06-12,39928.68717563521,3421.139296304049,-3680.0400404775064
100,2020-06-13,40025.61282007836,3427.119645204024,-3686.8148395343815
101,2020-06-14,40117.89706100822,3432.7978969980104,-3693.249041760857
102,2020-06-15,40205.7504341513,3438.1889808861742,-3699.359335964189
103,2020-06-16,40289.37486053192,3443.3071153479323,-3705.161629493392
104,2020-06-17,40368.96391887318,3448.1658394724072,-3710.671081459077
105,2020-06-18,40444.7031170846,3452.7780431752617,-3715.902134895572
106,2020-06-19,40516.77016187176,3457.1559963016116,-3720.868547849721
107,2020-06-20,40585.33522564632,3461.3113766352617,-3725.583423402015
108,2020-06-21,40650.56120998962,3465.255296821051,-3730.0592386143107
109,2020-06-22,40712.604005084926,3468.9983302340115,-3734.3078724270235
110,2020-06-23,40771.61274458539,3472.5505358088485,-3738.340632509993
111,2020-06-24,40827.7300554582,3475.921481854697,-3742.168281083337
112,2020-06-25,40881.092302523815,3479.12026889572,-3745.801059742633
113,2020-06-26,40931.82982725297,3482.1555515387663,-3749.248713282679
114,2020-06-27,40980.06718071076,3485.035559422882,-3752.520512570205
115,2020-06-28,41025.92335039406,3487.7681172648736,-3755.6252764752135
116,2020-06-29,41069.51198084048,3490.360664035121,-3758.5713928916084
117,2020-06-30,41110.941587936926,3492.820271296252,-3761.3668388770675
