,dates,prediction,+,-
0,2020-03-03,0.0,0.0,0.0
1,2020-03-04,5.858812598693091e-07,7.267393042185665e-08,-7.280897339863351e-08
2,2020-03-05,8.925054255902747e-06,1.0983848508919742e-06,-1.102344590550141e-06
3,2020-03-06,4.8142390216042686e-05,5.885154951342795e-06,-5.915085142161428e-06
4,2020-03-07,0.0001810943919543068,2.2024913157955763e-05,-2.2161672274154646e-05
5,2020-03-08,0.0005842710952147053,7.081226324349066e-05,-7.13059112648184e-05
6,2020-03-09,0.001759540820527314,0.00021279528117639857,-0.00021437769196786817
7,2020-03-10,0.005136081692688436,0.0006203964016197241,-0.0006251713315383193
8,2020-03-11,0.01477695790035072,0.0017837813078032585,-0.0017977566680949606
9,2020-03-12,0.042199738895031084,0.005092314291074991,-0.005132587776921792
10,2020-03-13,0.11992119629219147,0.014468040336595711,-0.014583114185968124
11,2020-03-14,0.3392128130825222,0.04091791806720868,-0.041244834617276904
12,2020-03-15,0.9539866547536547,0.1150547405181851,-0.11597853462404628
13,2020-03-16,2.6597498622759037,0.3206942476770376,-0.323287243385181
14,2020-03-17,7.299834144190719,0.8797618493428416,-0.8869635245854113
15,2020-03-18,19.32906433826516,2.327075502441936,-2.346659508891836
16,2020-03-19,47.364849955190856,5.6889810303292805,-5.739809664590005
17,2020-03-20,103.91557983330782,12.432275091455821,-12.554122716798474
18,2020-03-21,203.6009021126244,24.23232495916838,-24.49746080022001
19,2020-03-22,361.3641408568969,42.750475315198,-43.27472917231535
20,2020-03-23,591.1957379872766,69.48278246868392,-70.43451417037613
21,2020-03-24,905.3578524354123,105.67537499714263,-107.28156966186589
22,2020-03-25,1313.988096476162,152.28854286357227,-154.83784603925938
23,2020-03-26,1824.9629265135409,209.9929036909657,-213.83578051692552
24,2020-03-27,2443.9279804554744,279.18507062504295,-284.7314737622346
25,2020-03-28,3174.4293985480826,360.0140949533443,-367.72911182672533
26,2020-03-29,4018.101305365517,452.41292612154757,-462.81088976957426
27,2020-03-30,4974.879882543567,556.1312368657264,-569.768756504538
28,2020-03-31,6043.225065772134,670.7673986294858,-688.2357159142575
29,2020-04-01,7220.338041132369,795.7983402108703,-817.7153579253973
30,2020-04-02,8502.367464135394,930.6066369501623,-957.6089059231381
31,2020-04-03,9884.600484876539,1074.504570162806,-1107.2394625799661
32,2020-04-04,11361.636663692145,1226.7551335614753,-1265.8733783857915
33,2020-04-05,12927.544183117569,1386.5901080961721,-1432.7388183352323
34,2020-04-06,14575.99858884967,1553.2254076691734,-1607.0416897681498
35,2020-04-07,16300.404784904182,1725.8739355420475,-1787.9791383086376
36,2020-04-08,18094.00330601646,1903.7562066024875,-1974.7508399681938
37,2020-04-09,19949.96204408547,2086.108989333781,-2166.56832139126
38,2020-04-10,21861.454668781997,2272.1922099370604,-2362.662533569808
39,2020-04-11,23821.7269782884,2461.2943441896678,-2562.2898913879835
40,2020-04-12,25824.152390773597,2652.736504913257,-2764.7369770357946
41,2020-04-13,27862.277771136825,2845.8754175095055,-2969.3240929935746
42,2020-04-14,29929.860584583796,3040.1054419455177,-3175.407817882129
43,2020-04-15,32020.89846133343,3234.859798986403,-3382.3827207420363
44,2020-04-16,34129.65204305514,3429.6111270423207,-3589.682358412425
45,2020-04-17,36250.66200578729,3623.8714952985683,-3796.779681953998
46,2020-04-18,38378.761013489515,3817.1919622043497,-4003.1869422621385
47,2020-04-19,40509.081251140946,4009.1617657573297,-4208.455183876795
48,2020-04-20,42637.0581721433,4199.40724105062,-4412.173419205399
49,2020-04-21,44758.43122792374,4387.590505132124,-4613.967541676626
50,2020-04-22,46869.24155332794,4573.407971424567,-4813.499013513814
51,2020-04-23,48965.82765054978,4756.588752149051,-5010.463423329056
52,2020-04-24,51044.81911868674,4936.892976804716,-5204.588920908034
53,2020-04-25,53103.1288487886,5114.11006044181,-5395.634575363467
